"Datetime","Customer","Sku","Qty","Amt"
"2017-01","101032","013622","3120","151004.75"
"2017-01","101075","013622","120","6239.4"
"2017-01","102068","013622","3600","174237"
"2017-01","102118","013622","144","7185"
"2017-01","103046","013622","264","13865.279999999999"
"2017-01","104045","013622","240","11975"
"2017-01","104046","013622","24","1197.5"
"2017-01","106013","013622","48","2520.96"
"2017-01","110001","013622","600","29039.37"
"2017-01","110035","013622","240","11920"
"2017-01","111022","013622","840","40655.12"
"2017-01","111079","013622","1464","68045.5"
"2017-01","112028","013622","1248","60114.36"
"2017-01","112033","013622","240","12604.8"
"2017-01","115016","013622","11640","647184"
"2017-01","115030","013622","72","3484.7200000000003"
"2017-01","115037","013622","1200","58078.75"
"2017-01","119009","013622","2400","119750"
"2017-01","119023","013622","2160","104541.75"
"2017-01","119057","013622","240","10938.69"
"2017-01","119226","013622","72","3668"
"2017-01","119322","013622","1200","57480"
"2017-01","119408","013622","2400","116157.5"
"2017-01","119419","013622","240","11920"
"2017-01","119424","013622","480","23950"
"2017-01","119442","013622","1200","58078.75"
"2017-01","119457","013622","24","1260.48"
"2017-01","120009","013622","240","12604.8"
"2017-01","120099","013622","1200","59875"
"2017-01","120194","013622","360","17962.5"
"2017-01","121003","013622","480","23231.5"
"2017-01","123036","013622","480","23937.850000000002"
"2017-01","125011","013622","2448","112727.04"
"2017-01","174029","013622","840","40236"
"2017-01","201018","013622","120","6302.4"
"2017-01","201027","013622","24","1260.48"
"2017-01","201112","013622","120","6302.4"
"2017-01","201242","013622","120","6302.4"
"2017-01","202040","013622","96","4890.66"
"2017-01","202044","013622","120","6176.35"
"2017-01","202047","013622","1440","71850"
"2017-01","202051","013622","120","5960"
"2017-01","202063","013622","480","25209.6"
"2017-01","202118","013622","120","6302.4"
"2017-01","202138","013622","288","15125.76"
"2017-01","202140","013622","120","6302.4"
"2017-01","202151","013622","96","5041.92"
"2017-01","202165","013622","72","3781.44"
"2017-01","202191","013622","72","3781.44"
"2017-01","203034","013622","864","40562.37"
"2017-01","203121","013622","360","18907.2"
"2017-01","203137","013622","120","5960"
"2017-01","203139","013622","1680","84430.4"
"2017-01","203144","013622","1080","54754.2"
"2017-01","203166","013622","120","6302.4"
"2017-01","203205","013622","120","6302.4"
"2017-01","203228","013622","120","6302.4"
"2017-01","203275","013622","1272","63467.5"
"2017-01","204793","013622","120","5927.62"
"2017-01","204794","013622","240","11855.25"
"2017-01","204795","013622","240","11855.25"
"2017-01","205017","013622","720","34847.25"
"2017-01","206013","013622","240","12604.8"
"2017-01","208019","013622","1800","88016.25"
"2017-01","210011","013622","360","18339.98"
"2017-01","210027","013622","120","6302.4"
"2017-01","210040","013622","24","1260.48"
"2017-01","211014","013622","72","3781.44"
"2017-01","211029","013622","48","2520.96"
"2017-01","211054","013622","72","3781.44"
"2017-01","211071","013622","240","12478.75"
"2017-01","211091","013622","24","1260.48"
"2017-01","211110","013622","1200","60838"
"2017-01","211126","013622","240","11267.33"
"2017-01","211157","013622","48","2520.96"
"2017-01","211202","013622","360","18156.65"
"2017-01","211235","013622","120","6083.7"
"2017-01","211237","013622","24","1260.48"
"2017-01","211261","013622","96","5041.92"
"2017-01","212017","013622","600","31512"
"2017-01","212022","013622","360","18907.2"
"2017-01","212031","013622","1200","59875"
"2017-01","212044","013622","480","25209.6"
"2017-01","212057","013622","480","23231.6"
"2017-01","213029","013622","1128","54594.259999999995"
"2017-01","213036","013622","24","1260.48"
"2017-01","213091","013622","72","3781.44"
"2017-01","213118","013622","72","3668"
"2017-01","213145","013622","480","23231.6"
"2017-01","213177","013622","48","2495.76"
"2017-01","214031","013622","480","25209.6"
"2017-01","214050","013622","192","9781.28"
"2017-01","214067","013622","480","25209.6"
"2017-01","214119","013622","48","2520.96"
"2017-01","214163","013622","72","3781.44"
"2017-01","215010","013622","480","24335.2"
"2017-01","215024","013622","240","11920"
"2017-01","216028","013622","720","36502.8"
"2017-01","216112","013622","72","3781.44"
"2017-01","216122","013622","120","6302.4"
"2017-01","216127","013622","720","35946.6"
"2017-01","216207","013622","48","2520.96"
"2017-01","216218","013622","72","3484.74"
"2017-01","216240","013622","960","48670.4"
"2017-01","216271","013622","432","22688.64"
"2017-01","216272","013622","216","10728"
"2017-01","216278","013622","72","3576"
"2017-01","216296","013622","48","2520.96"
"2017-01","216298","013622","144","7562.88"
"2017-01","216299","013622","72","3781.44"
"2017-01","216352","013622","144","7562.88"
"2017-01","216382","013622","48","2520.96"
"2017-01","216420","013622","96","5041.92"
"2017-01","218001","013622","240","12604.8"
"2017-01","218067","013622","72","3781.44"
"2017-01","218081","013622","360","17423.7"
"2017-01","218124","013622","48","2520.96"
"2017-01","219009","013622","360","18339.98"
"2017-01","219028","013622","360","18907.2"
"2017-01","219062","013622","480","24957.6"
"2017-01","219097","013622","120","6302.4"
"2017-01","219106","013622","240","12604.8"
"2017-01","219109","013622","240","11735.5"
"2017-01","219163","013622","840","41912.5"
"2017-01","219349","013622","168","8093.68"
"2017-01","219357","013622","72","3781.44"
"2017-01","219364","013622","240","11615.8"
"2017-01","219418","013622","120","6113.33"
"2017-01","219420","013622","120","6302.4"
"2017-01","219509","013622","96","5041.92"
"2017-01","219524","013622","48","2520.96"
"2017-01","219545","013622","240","12604.8"
"2017-01","219561","013622","48","2520.96"
"2017-01","219578","013622","120","6302.4"
"2017-01","219632","013622","168","8823.36"
"2017-01","219658","013622","48","2520.96"
"2017-01","219671","013622","144","7152"
"2017-01","220027","013622","720","34868.2"
"2017-01","220083","013622","144","7562.88"
"2017-01","220091","013622","120","5960"
"2017-01","220101","013622","528","27453.36"
"2017-01","220274","013622","24","1260.48"
"2017-01","220386","013622","144","7562.88"
"2017-01","220400","013622","480","25209.6"
"2017-01","220401","013622","360","18907.2"
"2017-01","220403","013622","24","1260.48"
"2017-01","220437","013622","72","3781.44"
"2017-01","221051","013622","480","23710.5"
"2017-01","221068","013622","24","1197.5"
"2017-01","222006","013622","600","29506.43"
"2017-01","222086","013622","720","37436.4"
"2017-01","223071","013622","48","2520.96"
"2017-01","223087","013622","24","1260.48"
"2017-01","226001","013622","144","6760.4"
"2017-01","261021","013622","48","2740.32"
"2017-01","261037","013622","120","6302.4"
"2017-01","271033","013622","72","3781.44"
"2017-01","274014","013622","960","49915.2"
"2017-01","279029","013622","72","3781.44"
"2017-01","281054","013622","48","2520.96"
"2017-01","281104","013622","24","1260.48"
"2017-01","287003","013622","240","12604.8"
"2017-01","319736","013622","24","1400"
"2017-01","321098","013622","48","3068.48"
"2017-01","390001","013622","24","1520"
"2017-01","601001","013622","1080","53524.8"
"2017-01","603165","013622","72","3888"
"2017-01","612026","013622","8160","406286.4"
"2017-01","615026","013622","336","14000"
"2017-01","615049","013622","72","3000"
"2017-01","615070","013622","48","2000"
"2017-01","720015","013622","240","9961"
"2017-01","861135","013622","24","1304.88"
"2017-02","101010","013622","600","28740"
"2017-02","101032","013622","5520","267162.25"
"2017-02","101049","013622","360","17423.62"
"2017-02","101075","013622","144","7487.28"
"2017-02","101086","013622","24","1370.16"
"2017-02","102002","013622","360","17962.5"
"2017-02","102008","013622","2400","119750"
"2017-02","102066","013622","360","17962.5"
"2017-02","102068","013622","7200","348474"
"2017-02","102069","013622","600","29202.24"
"2017-02","102075","013622","1200","58078.75"
"2017-02","102119","013622","24","1260.48"
"2017-02","103003","013622","600","30419"
"2017-02","103005","013622","1440","69694.5"
"2017-02","103046","013622","360","18907.199999999997"
"2017-02","103081","013622","1056","52690"
"2017-02","103132","013622","240","11615.74"
"2017-02","103133","013622","1080","52270.87"
"2017-02","103147","013622","2136","103380.17"
"2017-02","106001","013622","120","6302.4"
"2017-02","106013","013622","24","1260.48"
"2017-02","110001","013622","720","34847.24"
"2017-02","110035","013622","480","24335.2"
"2017-02","111022","013622","744","36008.82"
"2017-02","111079","013622","5736","266604.5"
"2017-02","111081","013622","240","11615.75"
"2017-02","111084","013622","864","42489.26"
"2017-02","111086","013622","1200","58078.75"
"2017-02","112028","013622","960","45618.4"
"2017-02","113006","013622","168","8558.66"
"2017-02","113067","013622","360","17423.62"
"2017-02","114031","013622","6000","290393.74"
"2017-02","114077","013622","480","23231.5"
"2017-02","114078","013622","2520","125737.5"
"2017-02","115002","013622","7176","347312.42000000004"
"2017-02","115016","013622","11520","640512"
"2017-02","115030","013622","1320","63886.62"
"2017-02","115037","013622","48","2323.15"
"2017-02","116059","013622","24","1222.67"
"2017-02","116062","013622","120","6302.4"
"2017-02","116101","013622","1392","67371.35"
"2017-02","116128","013622","1440","69694.5"
"2017-02","118008","013622","120","6113.33"
"2017-02","119023","013622","1872","90602.85"
"2017-02","119052","013622","1560","74724"
"2017-02","119057","013622","360","16408.03"
"2017-02","119087","013622","2400","110400"
"2017-02","119216","013622","1008","49570.8"
"2017-02","119226","013622","72","3668"
"2017-02","119322","013622","24","0"
"2017-02","119324","013622","2424","120947.5"
"2017-02","119366","013622","24","1210.06"
"2017-02","119408","013622","5160","249738.62"
"2017-02","119415","013622","840","40236"
"2017-02","119442","013622","720","34847.25"
"2017-02","119443","013622","720","34847.25"
"2017-02","119456","013622","4800","232315"
"2017-02","119460","013622","360","17880"
"2017-02","120099","013622","1440","71850"
"2017-02","120118","013622","48","2520.96"
"2017-02","120194","013622","360","17962.5"
"2017-02","121029","013622","1800","86220"
"2017-02","122033","013622","2400","116157.5"
"2017-02","123010","013622","5400","248400"
"2017-02","125004","013622","17280","778709.76"
"2017-02","125011","013622","7896","369021.6"
"2017-02","171050","013622","72","3781.44"
"2017-02","174029","013622","240","11496"
"2017-02","176044","013622","96","5041.92"
"2017-02","201004","013622","120","6302.4"
"2017-02","201018","013622","528","27453.36"
"2017-02","201024","013622","240","12604.8"
"2017-02","201066","013622","48","2520.96"
"2017-02","201091","013622","1200","62394"
"2017-02","201224","013622","120","6302.4"
"2017-02","201242","013622","120","6302.4"
"2017-02","202003","013622","384","20167.68"
"2017-02","202007","013622","480","23231.5"
"2017-02","202030","013622","96","5041.92"
"2017-02","202040","013622","144","7335.99"
"2017-02","202044","013622","96","4941.08"
"2017-02","202063","013622","480","25209.6"
"2017-02","202106","013622","360","18907.2"
"2017-02","202118","013622","120","6302.4"
"2017-02","202122","013622","48","2520.96"
"2017-02","202151","013622","96","5041.92"
"2017-02","202165","013622","48","2520.96"
"2017-02","202191","013622","48","2520.96"
"2017-02","203034","013622","1824","85631.68000000001"
"2017-02","203060","013622","288","14974.56"
"2017-02","203088","013622","216","11344.32"
