Date,Passengers
2016-01,12153
2016-02,17377
2016-03,21565
2016-04,10334
2016-05,16805
2016-06,26490
2016-07,7301
2016-08,17765
2016-09,21617
2016-10,16626
2016-11,20365
2016-12,28517
2017-01,81712
2017-02,202968
2017-03,163778
2017-04,201141
2017-05,154587
2017-06,275307
2017-07,144793
2017-08,199073
2017-09,162905
2017-10,242129
2017-11,186271
2017-12,238861
2018-01,156348
2018-02,238122
2018-03,195097
2018-04,103943
2018-05,148850
2018-06,220924
2018-07,135645
2018-08,145047
2018-09,194360
2018-10,149868
2018-11,207123
2018-12,280455
