"Datetime","Customer","Sku","Qty","Amt"
"2015-01","101092","011376","1","3700.94"
"2015-01","102113","014315","5","1076.94"
"2015-01","116003","014315","10","2153.88"
"2015-01","116178","014315","10","2220.5"
"2015-01","119248","011307","10","5221.63"
"2015-01","119248","014315","30","5743.76"
"2015-01","119450","014315","5","1065.84"
"2015-01","121037","011369","1","2725.24"
"2015-01","123010","011321","10","7263.65"
"2015-01","125004","011321","8","5810.92"
"2015-01","125004","014315","100","20842.56"
"2015-01","125011","011321","10","7263.65"
"2015-01","174041","011369","1","2725.24"
"2015-01","179003","011369","1","2725.24"
"2015-01","183006","011321","2","1599.24"
"2015-01","183006","011369","5","13626.2"
"2015-01","201229","014315","15","3330.75"
"2015-01","203091","011314","4","2558.63"
"2015-01","203184","014315","5","1110.25"
"2015-01","203261","011369","1","2725.24"
"2015-01","208019","011307","2","1226.55"
"2015-01","208019","011314","2","1335.58"
"2015-01","212038","011314","2","1362.84"
"2015-01","212038","011321","2","1599.24"
"2015-01","213029","014315","5","1110.25"
"2015-01","215015","011284","3","1493.82"
"2015-01","215015","011314","2","1318.88"
"2015-01","219188","011314","2","1318.88"
"2015-01","219326","014315","5","1076.94"
"2015-01","219417","011314","2","1362.84"
"2015-01","223049","014315","5","1112.83"
"2015-01","307128","011284","24","12720"
"2015-01","312118","011406","1","2900"
"2015-01","505019","011406","5","14720"
"2015-01","505029","011369","1","2700"
"2015-01","511109","066833","8","19498"
"2015-01","512039","011406","6","17849.96"
"2015-01","512062","011284","150","62100"
"2015-01","516253","066826","21","42000"
"2015-01","516262","011376","1","3120"
"2015-01","516280","011369","2","6500"
"2015-01","516327","011406","2","5450"
"2015-01","519234","011369","1","2606.95"
"2015-01","519234","066833","4","10135.4"
"2015-01","519303","011413","7","19579"
"2015-01","519650","066826","3","5700"
"2015-01","520257","011413","3","10597.8"
"2015-01","602234","014339","3","363.06"
"2015-01","602241","011406","1","2876.25"
"2015-01","602247","014339","5","605.1"
