"Quarter","State","Region","Trips","Purpose"
"2015-01-05","155285","691001","491400.00","4435441.342700015"
"2015-01-06","163365","691001","436200.00","6160852.769500038"
"2015-01-07","168346","691001","696320.00","7491313.332800024"
"2015-01-08","138004","691001","941670.00","7535507.548000003"
"2015-01-09","018566","691001","916840.00","7245575.148599982"
"2015-01-10","141790","864001","717530.00","6395974.709999986"
"2015-01-11","176709","115016","100650.00","1697880.029999996"
"2015-01-12","148980","691001","2184990.00","9188974.982399974"
"2015-01-13","151164","691001","1686910.00","8929651.020799976"
"2015-01-14","143305","691001","1460890.00","9231532.80660002"
"2015-01-15","137175","691001","1247570.00","11599529.867199946"
"2015-01-16","209216","691001","1567790.00","13298827.567099914"
"2015-01-17","163471","119224","998730.00","13954327.810000012"
"2015-01-19","161064","691001","998380.00","9534173.710299987"
"2015-01-20","173395","691001","1036570.00","10670698.947200026"
"2015-01-21","105068","691001","626820.00","10861074.048900004"
"2015-01-22","043223","105022","647710.00","10616743.140000006"
"2015-01-23","196554","711005","6197330.00","19793542.269999895"
"2015-01-24","114794","522027","1102520.00","13217016.779999988"
"2015-01-26","145637","691001","1142850.00","8992735.949999966"
"2015-01-27","183059","691001","1075190.00","11810342.996000018"
"2015-01-28","120146","691001","1395940.00","12616877.662400011"
"2015-01-29","030063","691001","1687360.00","14753753.500700034"
"2015-01-30","194895","691001","4938630.00","14325600.135499902"
"2015-01-31","119171","119408","482010.00","5770694.729999995"
"2015-02-01","210410","202079","55600.00","989361.0399999996"
"2015-02-02","159559","691001","1154940.00","9006963.01779996"
"2015-02-03","188986","691001","467130.00","6542801.3608"
"2015-02-04","089771","691001","543820.00","8134289.797000017"
"2015-02-05","189044","691001","711160.00","8760839.487399993"
"2015-02-06","200213","691001","117930.00","2080253.1739999978"
"2015-02-07","192983","226001","467440.00","8517653.530000031"
"2015-02-08","105006","202149","47400.00","911570.399999999"
"2015-02-09","170080","691001","1393520.00","10955520.520599993"
"2015-02-10","137878","691001","1177890.00","8902719.16470004"
"2015-02-11","209216","691001","1185770.00","16807750.00599995"
"2015-02-12","202415","691001","846100.00","10361144.939799955"
"2015-02-13","200718","691007","951550.00","10805661.560499955"
"2015-02-14","123321","203091","924640.00","11022107.250000037"
"2015-02-16","107352","691001","1475600.00","9755571.375699913"
"2015-02-17","134952","691001","756400.00","11614228.208199982"
"2015-02-18","097035","691001","28610.00","489189.0868"
"2015-02-19","109363","508016","12510.00","63192"
"2015-02-20","177027","691001","88470.00","894578.5627"
"2015-02-21","206338","501038","33600.00","530140.6799999996"
"2015-02-23","032142","691001","1917750.00","8154357.262900006"
"2015-02-24","145668","691001","734800.00","9351290.973000005"
"2015-02-25","123321","691001","951700.00","10593450.16180001"
"2015-02-26","129149","691001","4445240.00","14883891.498600012"
"2015-02-27","025021","691001","5746770.00","22995619.3833"
"2015-02-28","175412","101010","581490.00","9647474.409999978"
"2015-03-01","200145","206005","521180.00","4715089.840000008"
"2015-03-02","183660","691001","523730.00","6997224.611699969"
"2015-03-03","170097","691001","548050.00","6909345.453399994"
"2015-03-04","168162","101076","246820.00","2369833.3100000005"
"2015-03-05","200862","691001","996730.00","9167529.934300063"
"2015-03-06","130992","691001","457490.00","7014171.307500041"
"2015-03-07","051082","102068","412900.00","4827292.160000022"
"2015-03-08","131180","202060","426780.00","6719611.63000001"
