"Datetime","Sku","Customer","Qty","Amt"
"2015-01-05","004460","691001","5610.00","331750.05539999995"
"2015-01-06","139957","219007","41500.00","664799.2300000001"
"2015-01-07","013622","691001","26330.00","1134406.159399999"
"2015-01-08","013622","218076","132010.00","1876811.509999999"
"2015-01-09","075743","619295","14000.00","556536.9100000011"
"2015-01-10","004477","618076","14170.00","493287.28000000014"
"2015-01-11","094867","115016","10010.00","299719.5200000002"
"2015-01-12","122058","691001","33990.00","1385187.9950999985"
"2015-01-13","111403","691001","18000.00","837427.9762000002"
"2015-01-14","081195","864001","58010.00","1075606.2000000002"
"2015-01-15","122140","691001","27150.00","1237405.3071999997"
"2015-01-16","204815","691001","20200.00","1039735.2546000003"
"2015-01-17","018511","125011","64000.00","2350331.4200000004"
"2015-01-19","194390","691001","198870.00","1869425.7894000006"
"2015-01-20","111397","691001","26530.00","859277.0319999987"
"2015-01-21","150082","691001","24530.00","1174427.7977999987"
"2015-01-22","094560","702009","20770.00","940072.4300000002"
"2015-01-23","196554","711005","146730.00","2584251.6599999974"
"2015-01-24","013622","207014","66860.00","2546512.600000001"
"2015-01-26","110642","219283","47390.00","2182096.019999998"
"2015-01-27","111403","691001","135710.00","1934129.3556999993"
"2015-01-28","150082","691001","117260.00","2381214.8091000007"
"2015-01-29","111397","691001","30130.00","1382244.644099998"
"2015-01-30","150488","691001","24180.00","1170899.3757999989"
"2015-01-31","111397","220276","64520.00","1126957.7700000007"
"2015-02-01","011734","202079","3960.00","105037.26"
"2015-02-02","162450","691001","13480.00","704567.0657999996"
"2015-02-03","027018","691001","13840.00","635491.3091000001"
"2015-02-04","077921","691001","23170.00","1179506.5693999992"
"2015-02-05","077938","691001","33170.00","1502825.3385999992"
"2015-02-06","011734","202174","8070.00","430466.8500000001"
"2015-02-07","018511","619295","26900.00","1405619.1199999992"
"2015-02-08","153762","211232","3990.00","137176.78"
"2015-02-09","139803","691001","36000.00","1630607.083599998"
"2015-02-10","150082","691001","26760.00","894541.8382"
"2015-02-11","081195","115016","42070.00","1284566.009999999"
"2015-02-12","150082","691001","25360.00","1260331.789699998"
"2015-02-13","149437","691001","52320.00","2680915.151499999"
"2015-02-14","122126","105022","56670.00","2606692.169999996"
"2015-02-16","151386","691001","41490.00","1746530.2757999978"
"2015-02-17","167912","691001","91090.00","4155503.2492000065"
"2015-02-18","042271","691001","00.00","423.9252"
"2015-02-20","150105","691001","00.00","269.1588"
"2015-02-21","042288","612026","1970.00","82859.08"
"2015-02-23","139803","691001","14390.00","714769.5156"
"2015-02-24","150143","691001","41910.00","2006816.239399995"
"2015-02-25","077938","691001","27570.00","1407465.565499998"
"2015-02-26","162450","691001","28100.00","1349804.1857999985"
"2015-02-27","011734","691001","41290.00","1413980.2683999995"
"2015-02-28","150143","220291","47540.00","1739010.9499999993"
"2015-03-01","101916","219631","26270.00","944597.3799999999"
"2015-03-02","110666","203205","23460.00","1010331.47"
"2015-03-03","042288","691001","30280.00","1419746.772399998"
"2015-03-04","011734","210044","4260.00","245919.69000000006"
"2015-03-05","027001","691001","43120.00","1641995.829399998"
"2015-03-06","204815","691001","36890.00","1270114.0871999986"
"2015-03-07","167899","219441","10380.00","449813.3600000001"
"2015-03-08","011734","213108","27460.00","1489292.2899999993"
"2015-03-09","027018","691001","29100.00","1287005.887799999"
"2015-03-10","122065","691001","36580.00","1406985.2239999985"
"2015-03-11","150105","691001","39490.00","1869815.1076999996"
"2015-03-12","150082","691001","32250.00","1523571.9410999985"
"2015-03-13","013622","102068","28890.00","1537477.6899999997"
"2015-03-14","011734","123046","18180.00","800797.7799999998"
"2015-03-15","110642","219364","4690.00","224972.92999999996"
"2015-03-16","077921","216028","33510.00","1575024.0599999996"
"2015-03-17","013622","701022","29240.00","1460051.03"
"2015-03-18","150075","691001","62330.00","1020490.0243000003"
"2015-03-19","150099","691001","70260.00","1577398.6468999984"
"2015-03-20","196530","720006","92570.00","1600245.4700000004"
"2015-03-21","122058","618084","550.00","27675.98"
"2015-03-22","016913","125004","37370.00","1889235.229999999"
"2015-03-23","018511","691001","33680.00","1504662.4982999987"
"2015-03-24","167905","691001","25600.00","1363272.5918"
"2015-03-25","153762","691001","35520.00","1177501.5288999996"
"2015-03-26","086510","691001","85200.00","3191519.1429000013"
"2015-03-27","086510","691001","52170.00","1857291.6979999966"
