"Datetime","Sku","Customer","Qty","Amt"
"2015-01","004460","119287","83","71259.53540000001"
"2015-01","004477","612026","102","97674"
"2015-01","011734","618081","4564","2544066.4872999988"
"2015-01","013622","219003","11452","6445127.009399995"
"2015-01","013875","125004","86","48184.530000000006"
"2015-01","016906","115016","87","75749.51999999999"
"2015-01","016913","115016","197","170842.76"
"2015-01","018511","261021","1996","1141616.739999999"
"2015-01","018535","261021","6959","3985159.3299999963"
"2015-01","026998","602234","232","139171.94999999995"
"2015-01","027001","220328","165","105936.4099999999"
"2015-01","027018","220328","166","92910.45179999995"
"2015-01","042233","220328","64","38150.419400000006"
"2015-01","042240","220328","188","110840.8899999999"
"2015-01","042271","702009","75","40344.818900000006"
"2015-01","042288","618081","349","202564.45000000004"
"2015-01","042295","618081","865","496214.05000000005"
"2015-01","061777","619217","874","262468"
"2015-01","061784","615050","72","21456"
"2015-01","061791","615039","155","46024"
"2015-01","061807","613076","244","72458"
"2015-01","061821","619217","6032","1801772"
"2015-01","061838","615055","554","167712"
"2015-01","061845","619217","648","193426"
"2015-01","061852","619217","771","230682"
"2015-01","061982","619217","1307","391082"
"2015-01","062026","619217","3397","1008182"
"2015-01","075583","619295","396","67489.55999999998"
"2015-01","075590","619295","616","102666.31999999998"
"2015-01","075606","619295","276","49318.43999999998"
"2015-01","075613","202185","313","55929.96999999998"
"2015-01","075712","619295","126","22514.939999999995"
"2015-01","075743","619295","190","34031.499999999985"
"2015-01","076467","219282","561","356356.76999999984"
"2015-01","077921","211111","176","109299.86999999997"
"2015-01","077938","618081","193","115720.63"
"2015-01","077945","211111","347","219269.6000000001"
"2015-01","079987","615039","75","23775"
"2015-01","079994","615070","28","8876"
"2015-01","080006","619217","184","57214"
"2015-01","080013","615048","2","634"
"2015-01","081195","619217","3772","809253.8400000002"
"2015-01","084950","618083","165","32060.730000000003"
"2015-01","086510","615059","160","93370.60239999997"
"2015-01","092009","619295","491","70006.37000000002"
"2015-01","093488","618072","7","1282.19"
"2015-01","093495","202080","16","2930.72"
"2015-01","093501","615037","181","36538.19"
"2015-01","093877","605077","16","10980.48"
"2015-01","094553","615052","4","580"
"2015-01","094560","619217","2712","608965.4400000003"
"2015-01","094867","619217","461","103120.12000000002"
"2015-01","094874","619217","743","169620.30000000005"
"2015-01","094881","619217","448","99266.60000000005"
"2015-01","096144","615037","84","12180"
"2015-01","096151","619304","12","1740"
"2015-01","101916","618081","493","190238.79000000018"
"2015-01","107024","615056","206","37879.02"
"2015-01","107031","615065","226","43968"
"2015-01","107048","615056","132","23931"
"2015-01","110642","219025","1530","653482.8"
"2015-01","110659","211208","1206","517005.96"
"2015-01","110666","115016","240","105241.33"
"2015-01","110673","612026","280","117962.41999999998"
"2015-01","111397","220276","641","385872.2538999997"
"2015-01","111403","225044","87","53835.464900000006"
"2015-01","111410","220276","462","282380.29000000004"
"2015-01","118334","619217","81","14520"
"2015-01","118341","619217","182","33824"
"2015-01","118358","619217","271","51736"
"2015-01","118365","619217","118","21364"
"2015-01","118372","619217","137","24222"
"2015-01","118389","619217","158","27708"
"2015-01","118396","615026","64","12992"
"2015-01","122058","602254","51","33595.6429"
"2015-01","122065","211114","802","462393.4535999997"
"2015-01","122072","202177","478","284935.51"
"2015-01","122126","219282","475","300434.04999999993"
"2015-01","122133","219282","128","70229.9"
"2015-01","122140","619295","109","63917.41180000001"
"2015-01","122157","202126","79","45765.64"
"2015-01","122164","211111","42","26837.150000000005"
"2015-01","122645","615036","793","196433.27"
"2015-01","122676","390001","492","120104.06"
"2015-01","123703","615036","327","75806.76999999999"
"2015-01","124434","619217","299","52325"
"2015-01","124441","619217","90","16478"
"2015-01","139803","618081","65","39912.908399999986"
"2015-01","139957","612026","383","318189.22000000003"
"2015-01","149413","691001","0","112.1495"
"2015-01","149451","691001","0","121.4953"
"2015-01","150075","612026","218","124507.88999999997"
"2015-01","150082","211111","200","121862.9369"
"2015-01","150099","211111","225","136700.25"
"2015-01","150105","115016","110","70797.18000000001"
"2015-01","150112","115016","136","65124.083300000006"
"2015-01","150129","211114","194","115876.1218"
"2015-01","150136","211111","125","77628.61180000001"
"2015-01","150143","220374","190","74316.7492"
"2015-01","150488","691001","0","9.3458"
"2015-01","153120","615048","42","8526"
"2015-01","153144","615036","30","5991"
"2015-01","153151","615047","54","10896"
"2015-01","153762","216112","1238","714242.7600000001"
"2015-01","153779","612026","83","54731.32"
"2015-01","153786","212044","124","78053.40969999997"
"2015-01","162474","620062","1","915.04"
"2015-01","162481","620062","1","915.04"
"2015-01","162511","619332","1","823.68"
"2015-01","162528","620062","1","915.04"
"2015-01","167851","219282","229","134069.30000000002"
"2015-01","167899","618084","233","137417.46"
"2015-01","167905","202178","106","67448.8618"
"2015-01","167912","115016","61","39059.873600000006"
"2015-01","167929","202176","47","32056.97"
"2015-01","172756","619217","120","21024"
"2015-01","172770","619217","88","15400"
"2015-01","173975","619217","372","65100"
"2015-01","173999","619217","232","40600"
"2015-01","177447","202086","0","333.6"
"2015-01","194383","219631","143","73863.62999999998"
"2015-01","194390","619370","55","34508.0612"
"2015-01","194406","219631","19","10861.990000000002"
"2015-01","196363","720006","3850","124724"
"2015-01","196370","719017","4300","141550"
"2015-01","196387","719017","1100","38694"
"2015-01","196400","720006","7600","257364"
"2015-01","196417","719017","100","3522"
"2015-01","196424","719017","700","24582"
"2015-01","196448","711005","6750","225535"
"2015-01","196462","719017","600","21120"
"2015-01","196479","720006","5250","180941"
"2015-01","196486","719017","1400","49224"
"2015-01","196509","711005","4800","153184"
"2015-01","196516","719017","600","21096"
"2015-01","196523","711005","3400","109134"
"2015-01","196530","720006","5800","190698"
"2015-01","196547","719017","600","21120"
"2015-01","196554","720006","17100","558828"
"2015-01","196578","719017","100","3516"
"2015-01","204815","619370","11","7786.1318"
"2015-01","204822","115016","15","10466.24"
"2015-01","204839","619370","2","1423.27"
"2015-01","213725","714005","248","95663.51999999999"
"2015-01","213732","714005","224","86405.76"
"2015-01","213749","714005","248","95663.51999999999"
"2015-01","213756","714005","192","74062.08"
"2015-01","213763","714005","160","61718.399999999994"
"2015-01","213770","714005","244","94120.56"
"2015-01","213787","714005","192","74062.08"
"2015-01","213831","714005","112","43202.88"
"2015-01","213848","714005","184","70976.16"
"2015-01","213855","714005","112","43202.88"
"2015-01","213862","714005","188","72519.12"
"2015-01","213886","714005","184","70976.16"
"2015-01","213893","714005","236","91034.64"
"2015-02","004460","115016","100","84515.03"
"2015-02","004477","110003","635","521552.00999999995"
"2015-02","011734","115016","3831","2167317.7838000003"
"2015-02","013622","603165","14169","7928659.220000007"
"2015-02","013875","216315","64","38860.78999999999"
"2015-02","016906","115016","71","64495.44999999999"
"2015-02","016913","115016","91","87865.44"
"2015-02","018511","612026","713","412195.17000000004"
"2015-02","018535","390001","6271","3512680.8218000005"
"2015-02","026998","119456","464","249114.4299999999"
"2015-02","027001","618078","269","160677.4990999999"
"2015-02","027018","210012","327","189005.07910000003"
"2015-02","042233","115016","320","201480.00000000003"
"2015-02","042240","216315","273","159294.06999999995"
"2015-02","042271","102009","162","96028.34179999998"
"2015-02","042288","219005","393","222693.58"
"2015-02","042295","123046","748","414746.9400000002"
"2015-02","061777","612026","168","66156"
"2015-02","061784","615075","4","1192"
"2015-02","061791","619217","32","9586"
"2015-02","061807","619217","238","73696"
"2015-02","061821","613079","2384","719240.21"
"2015-02","061838","612026","104","29008"
"2015-02","061845","612026","566","172676"
"2015-02","061852","115016","210","66016"
"2015-02","061982","613077","472","145980"
"2015-02","062026","613053","2972","924516"
"2015-02","075583","619295","374","61023.58999999999"
"2015-02","075590","620158","420","71882.99999999999"
"2015-02","075606","618083","184","32986.15999999999"
"2015-02","075613","620158","259","44690.86"
"2015-02","075712","618072","28","5110.52"
"2015-02","075743","619295","49","8869.710000000001"
"2015-02","076467","115016","973","587783.3899999999"
"2015-02","077921","113042","445","244830.88969999994"
"2015-02","077938","115016","429","239656.42800000004"
"2015-02","077945","219097","632","373781.2799999997"
"2015-02","079987","619217","152","47992"
"2015-02","079994","615039","60","18942"
"2015-02","080006","615026","108","34396"
"2015-02","080013","615075","4","1268"
"2015-02","081195","613053","2909","621756.6500000001"
"2015-02","084950","615075","44","8932"
"2015-02","086510","612026","220","135423.628"
"2015-02","092009","619295","336","47821.38999999996"
"2015-02","093501","620158","144","28510.02"
"2015-02","094560","615051","2363","500211.64"
"2015-02","094867","619217","344","75470.15000000002"
"2015-02","094874","115016","636","147462.44"
"2015-02","094881","613053","378","86596.6"
"2015-02","096144","615031","18","2610"
"2015-02","096151","115016","74","9710"
"2015-02","098681","619313","4","729.4"
"2015-02","101916","219221","466","184290.6499999999"
"2015-02","107024","613053","222","39217.020000000004"
"2015-02","107031","612026","296","53403"
"2015-02","107048","612026","180","35175"
"2015-02","110642","115030","2794","1187427.6700000002"
"2015-02","110659","115016","878","384226.05999999994"
"2015-02","110666","612026","1116","471399.41"
"2015-02","110673","612026","668","288927.45999999996"
"2015-02","111397","219097","906","520406.91999999963"
"2015-02","111403","125011","76","47135.1313"
"2015-02","111410","111086","518","301104.33999999997"
"2015-02","118334","619217","35","6740"
"2015-02","118341","619217","140","24286"
"2015-02","118358","613053","342","65970.74"
"2015-02","118365","619217","121","22920"
"2015-02","118372","619217","121","22462"
"2015-02","118389","619217","134","25242"
"2015-02","118396","612026","214","39072"
"2015-02","118402","615075","3","609"
"2015-02","122058","115016","56","37334.78"
"2015-02","122065","220340","632","365899.5599999998"
"2015-02","122072","219097","903","527882.8699999994"
"2015-02","122126","119408","669","379082.2399999998"
"2015-02","122133","121003","363","184342.83829999997"
"2015-02","122140","115016","39","27730.779700000003"
"2015-02","122157","719017","51","30051.64"
"2015-02","122164","216338","102","64977.570000000014"
"2015-02","122645","620158","588","148500.52"
"2015-02","122676","619217","784","197210.00000000006"
"2015-02","123703","615064","196","45023.15999999998"
