invoiceyear,productcgcode,productcode,invoiceamt,invoiceqty
2010,10011,13622,114530611.42,2708351
2010,10011,42271,3408779.02,79384
2010,10011,42288,3747075.81,87066
2010,10011,42295,7180827.25,168523
2010,10011,61821,6763302.48,25498
2010,10011,61838,637363.98,2409
2010,10011,61845,655932.68,2472
2010,10011,61852,1652586.76,6242
2010,10011,75590,511885.46,3437
2010,10011,75729,24624,162
2010,10011,75736,65360,430
2010,10011,75743,165358,1090
2010,10011,93853,237552,4848
2010,10011,93860,43.92,1
2010,10011,117221,175224,3576
2010,10011,123574,2086160.8,7852
2010,10011,123581,437258.72,1670
2010,10011,123598,318274.36,1208
2010,10011,123604,354529.04,1328
2010,10011,123628,279806.96,1927
2010,10011,123635,215410.8,1439
2010,10011,158347,247860,972
2010,10011,158354,27540,108
2010,10011,805577,23603.4,78
2010,90242,134426,3142947.84,112128
2011,10011,13622,88021532.31,2037960
2011,10011,42271,2422497.28,54848
2011,10011,42288,2708555.36,62110
2011,10011,42295,5839913.52,133687
2011,10011,61821,3379202.4,12956
2011,10011,61838,441545.04,1697
2011,10011,61845,403146.74,1549
2011,10011,61852,1073703.02,4117
2011,10011,75590,681640.83,4323
2011,10011,75729,2291.58,22
2011,10011,75743,319685.95,2012
2011,10011,93853,353472.03,6449
2011,10011,117221,23520,480
2011,10011,123574,1668540,6399
2011,10011,123581,547040,2104
2011,10011,123598,403260,1551
2011,10011,123604,229060,881
2011,10011,123628,304693.99,1974
2011,10011,123635,160236.8,1044
2011,10011,123642,69752.7,606
2011,10011,123659,59337.56,487
2011,10011,158347,2444980,9085
2011,10011,158354,981195,3635
2011,10011,165543,285487.52,5400
2011,10011,165550,81581.71,1548
2011,10011,177447,9825087.09,234120
2011,10011,177928,631900,2239
2011,10011,805577,0,8
2011,90242,134426,3747891.74,116544
2012,10011,13622,108144055.85,2436902
2012,10011,42271,2119559.34,47064
2012,10011,42288,2432545.39,53997
2012,10011,42295,4841950.53,108534
2012,10011,61821,15397252.53,57918
2012,10011,61838,270387.79,1035
2012,10011,61845,529311.8,2006
2012,10011,61852,1627432.97,6026
2012,10011,75590,1056457.73,7138
2012,10011,75729,1284.6,12
2012,10011,75736,18044.28,122
2012,10011,75743,286390.97,1837
2012,10011,93853,322506.51,5790
2012,10011,93860,516.81,7
2012,10011,123581,12231.12,44
2012,10011,123628,5239.36,32
2012,10011,123635,9826.11,63
2012,10011,123642,2310,22
2012,10011,158347,106335,393
2012,10011,158354,82060,304
2012,10011,165543,95993.49,1800
2012,10011,165550,74690.38,1416
2012,10011,177447,19654202.9,469692
2012,10011,177911,314785.8,2107
2012,10011,177928,3284041.22,12385
2012,10011,179182,149499,2700
2012,10011,180348,199423.14,1218
2012,10011,194383,270868.14,4902
2012,90242,134426,4485648,135600
2013,10011,13622,124541242.95,2691493
2013,10011,42271,3138888.85,67086
2013,10011,42288,3347993.96,70662
