Month Sales
2019-01 149396
2019-02 124186
2019-03 207102
2019-04 173047
2019-05 128432
2019-06 111067
2019-07 169942
2019-08 123956
2019-09 152696
2019-10 141278
2019-11 155646
2019-12 252762
2020-01 86144
2020-02 125253
2020-03 182763
2020-04 71815
2020-05 65956
2020-06 125250
2020-07 182544
2020-08 167330
2020-09 143853
2020-10 103965
2020-11 157616
2020-12 280289
2021-01 159235
2021-02 134896
2021-03 134158
2021-04 74089
2021-05 71918
2021-06 133608
2021-07 91356
2021-08 104432
2021-09 166630
2021-10 174029
2021-11 78397
2021-12 284637
