Datetime,QTY
2/27/2016,40
3/1/2016,548
3/2/2016,2404
3/3/2016,4220
3/4/2016,4
3/5/2016,1844
3/7/2016,460
3/8/2016,1536
3/9/2016,311
3/10/2016,175
3/11/2016,1798
3/12/2016,284
3/14/2016,866
3/15/2016,267
3/16/2016,1214
3/17/2016,1053
3/18/2016,129
3/19/2016,11
3/21/2016,184
3/22/2016,165
3/23/2016,200
3/24/2016,1269
3/25/2016,322
3/26/2016,2635
3/28/2016,1514
3/29/2016,620
4/1/2016,26
4/2/2016,4
4/7/2016,-500
4/21/2016,40
4/22/2016,35
4/23/2016,25
4/25/2016,-100
5/3/2016,-16
5/7/2016,-20
5/10/2016,39
5/11/2016,14
5/12/2016,400
5/13/2016,20
5/14/2016,60
5/18/2016,3
5/21/2016,90
5/23/2016,1000
5/24/2016,560
5/25/2016,1220
5/26/2016,446
5/27/2016,80
5/28/2016,1340
5/30/2016,2600
5/31/2016,2440
6/1/2016,200
6/3/2016,-100
6/7/2016,60
6/8/2016,10220
6/9/2016,1340
6/10/2016,1840
6/11/2016,1960
6/13/2016,460
6/15/2016,-20
6/16/2016,20
6/18/2016,852
6/20/2016,993
6/21/2016,21
6/23/2016,199
6/25/2016,6044
6/27/2016,10734
6/28/2016,2900
6/29/2016,2730
7/1/2016,336
7/2/2016,1580
7/4/2016,-963
7/5/2016,40
7/6/2016,85
7/7/2016,6
7/8/2016,300
7/9/2016,80
7/11/2016,392
7/12/2016,945
7/13/2016,764
7/14/2016,262
7/15/2016,778
7/16/2016,21
7/18/2016,4
7/20/2016,-17
7/21/2016,12
7/23/2016,656
7/25/2016,2709
7/26/2016,1597
7/27/2016,2085
7/28/2016,10
7/29/2016,877
7/30/2016,800
8/1/2016,615
8/2/2016,484
8/3/2016,1832
8/4/2016,3356
8/5/2016,560
8/6/2016,306
8/8/2016,15
8/9/2016,800
8/10/2016,200
8/11/2016,781
8/15/2016,478
8/16/2016,2879
8/17/2016,609
8/18/2016,481
8/19/2016,1206
8/20/2016,1238
8/22/2016,1794
8/23/2016,2235
8/24/2016,373
8/25/2016,2891
8/26/2016,791
8/27/2016,2622
8/29/2016,566
8/30/2016,1473
8/31/2016,-1089
9/1/2016,1945
9/2/2016,905
9/3/2016,20
9/5/2016,320
9/7/2016,295
9/8/2016,150
9/9/2016,204
9/10/2016,2986
9/12/2016,361
9/13/2016,4206
9/14/2016,775
9/15/2016,1446
9/16/2016,283
9/17/2016,408
9/19/2016,240
9/20/2016,1622
9/21/2016,935
9/22/2016,180
9/23/2016,22
9/24/2016,100
9/26/2016,180
9/27/2016,-6
9/28/2016,3
9/29/2016,2750
9/30/2016,160
10/1/2016,540
10/4/2016,1090
10/5/2016,798
10/6/2016,82
10/7/2016,40
10/8/2016,160
10/10/2016,198
10/12/2016,478
10/13/2016,643
10/14/2016,209
10/15/2016,560
10/17/2016,766
10/18/2016,851
10/19/2016,1654
10/20/2016,1324
10/21/2016,1482
10/22/2016,344
10/24/2016,240
10/25/2016,2216
10/26/2016,624
10/27/2016,928
10/28/2016,3319
10/29/2016,197
10/31/2016,678
11/1/2016,2003
11/2/2016,440
11/3/2016,280
11/4/2016,256
11/5/2016,146
11/7/2016,2446
11/8/2016,1205
11/9/2016,366
11/10/2016,3324
11/11/2016,2526
11/12/2016,323
11/14/2016,749
11/15/2016,459
11/16/2016,370
11/17/2016,411
11/18/2016,323
11/19/2016,288
11/21/2016,1202
11/22/2016,993
11/23/2016,2175
11/24/2016,1359
11/25/2016,712
11/26/2016,880
11/28/2016,914
11/29/2016,123
11/30/2016,1544
12/1/2016,550
12/2/2016,277
12/3/2016,156
12/6/2016,80
12/7/2016,2372
12/8/2016,2271
12/9/2016,102
12/10/2016,261
12/12/2016,493
12/13/2016,979
12/14/2016,134
12/15/2016,885
12/16/2016,352
12/17/2016,1084
12/19/2016,2053
12/20/2016,197
12/21/2016,1542
12/22/2016,1641
12/23/2016,1330
12/24/2016,700
12/26/2016,8501
12/27/2016,2482
12/28/2016,5613
12/29/2016,358
1/4/2017,220
1/5/2017,216
1/6/2017,30
1/9/2017,433
1/10/2017,-169
1/11/2017,105
1/12/2017,560
1/13/2017,328
1/14/2017,637
1/16/2017,-184
1/17/2017,780
1/18/2017,340
1/19/2017,741
1/20/2017,1005
1/21/2017,156
1/23/2017,878
1/24/2017,464
1/25/2017,1457
1/26/2017,4203
1/27/2017,4144
1/28/2017,532
2/1/2017,222
2/2/2017,580
2/3/2017,62
2/4/2017,40
2/6/2017,433
2/7/2017,604
2/8/2017,924
2/9/2017,715
2/10/2017,801
2/11/2017,407
2/14/2017,667
2/15/2017,377
2/16/2017,1797
2/17/2017,989
2/18/2017,797
2/20/2017,604
2/21/2017,622
2/22/2017,596
2/23/2017,712
2/24/2017,1117
2/25/2017,1829
2/27/2017,3066
2/28/2017,391
3/1/2017,3592
3/2/2017,185
3/3/2017,1180
3/4/2017,75
3/6/2017,128
3/7/2017,610
3/8/2017,544
3/9/2017,500
3/10/2017,95
3/11/2017,873
3/13/2017,743
3/14/2017,572
3/15/2017,924
3/16/2017,502
3/17/2017,1131
3/18/2017,945
3/20/2017,1950
3/21/2017,811
3/22/2017,798
3/23/2017,480
3/24/2017,781
3/25/2017,174
3/27/2017,1062
3/28/2017,1745
3/29/2017,973
3/30/2017,7230
3/31/2017,1198
4/1/2017,1218
4/3/2017,370
4/4/2017,100
4/5/2017,130
4/6/2017,103
