Datetime,QTY
2016-02,40
2016-03,24373
2016-04,130
2016-05,10312
2016-06,40711
2016-07,14720
2016-08,28699
2016-09,20569
2016-10,19429
2016-11,27431
2016-12,35569
2017-01,18379
2017-02,19492
2017-03,30414
2017-04,20458
2017-05,7185
2017-06,25634
2017-07,8922
2017-08,11061
2017-09,6660
2017-10,12757
2017-11,27797
2017-12,30734
2018-01,28557
2018-02,31419
2018-03,14308
2018-04,1150
2018-05,4
2018-06,20900
2018-07,21646
2018-08,35115
2018-09,9864
2018-10,24224
2018-11,28762
2018-12,34635
2019-01,27668
2019-02,38548
2019-03,56421
2019-04,15534
2019-05,6698
2019-06,6441
2019-07,3603
2019-08,3119
2019-09,5209
2019-10,547
2019-11,16547
2019-12,30695
2020-01,14598
2020-02,31463
2020-03,9196
2020-04,4158
2020-05,5162
2020-06,15709
2020-07,11188
2020-08,3695
2020-09,2717
2020-10,3376
2020-11,2483
2020-12,3561
2021-01,7352
2021-02,9946
2021-03,27215
2021-04,17925
2021-05,21576
2021-06,17217
2021-07,5416
2021-08,7426
2021-09,19130
2021-10,18188
2021-11,16018
2021-12,34055
2022-01,19206
2022-02,28205
2022-03,20873
2022-04,14613
2022-05,19263
2022-06,23956
2022-07,3525
