lv1_code,lv2_code,customer_code,product_group,product_group_title,product_CG,product_CG_title,convert_unit,Ym,qty,amt
100,WC04,101064,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-05,50,28529.64
100,DE00,211071,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-05,16,9507.8
100,WC03,211110,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-05,60,34933.8
100,WC05,216352,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-05,40,23529.6
100,RL00,220274,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-05,4,2400.96
100,WC06,101081,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,10,6002.4
100,WC04,102068,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,200,110580
100,WC05,102119,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,4,2609.76
100,WS00,119444,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,40,21896.83
100,WS00,119460,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,20,11404.6
100,WC04,120099,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,80,45618.4
100,WC05,203137,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,42,24458.92
100,RL00,209016,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,10,5822.33
100,WC05,211082,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,46,25443.52
100,WC05,218045,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-06,40,22940
100,WC04,102068,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-07,400,221160
100,RL00,113006,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-07,40,23289.31
100,WS00,114031,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-07,200,107305.28
100,WS00,119442,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-07,100,53652.64
100,WC03,120073,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-07,70,39916.1
100,WS00,125004,0100,ELP LEVER ARCH FILE,010011,ELP LEVER ARCH FILE 120F,12.00000,2015-01-07,92,35024.68
