Datetime,PJME_MW
2015-01-05,170
2015-01-06,492
2015-01-07,1338
2015-01-08,978
2015-01-09,40
2015-01-10,48
2015-01-12,545
2015-01-13,474
2015-01-14,342
2015-01-15,474
2015-01-16,605
2015-01-17,388
2015-01-19,160
2015-01-20,136
2015-01-21,704
2015-01-22,445
2015-01-23,798
2015-01-24,493
2015-01-26,556
2015-01-27,183
2015-01-28,843
2015-01-29,266
2015-01-30,467
2015-01-31,294
2015-02-01,1
2015-02-02,491
2015-02-03,160
2015-02-04,725
2015-02-05,412
2015-02-06,131
2015-02-07,518
2015-02-08,1
2015-02-09,731
2015-02-10,759
2015-02-11,663
2015-02-12,894
2015-02-13,1092
2015-02-14,917
2015-02-16,699
2015-02-17,2193
2015-02-23,207
2015-02-24,1594
2015-02-25,1240
2015-02-26,84
2015-02-27,327
2015-02-28,5
2015-03-01,20
2015-03-02,92
2015-03-03,610
2015-03-04,116
2015-03-05,376
2015-03-06,964
2015-03-07,60
2015-03-08,1216
2015-03-09,770
2015-03-10,532
2015-03-11,556
2015-03-12,790
2015-03-13,1198
2015-03-14,356
2015-03-15,6
2015-03-16,1040
2015-03-17,871
2015-03-18,387
2015-03-19,470
2015-03-20,1248
2015-03-21,2
2015-03-22,1711
2015-03-23,723
2015-03-24,818
2015-03-25,270
2015-03-26,1099
2015-03-27,482
2015-03-28,562
2015-03-30,288
2015-03-31,844
2015-04-01,1274
2015-04-02,450
2015-04-03,1042
2015-04-04,1328
2015-04-06,1616
2015-04-07,92
2015-04-08,503
2015-04-09,9
2015-04-10,1498
2015-04-11,256
2015-04-16,3154
2015-04-17,124
2015-04-18,748
2015-04-19,312
2015-04-20,362
2015-04-21,618
2015-04-22,184
2015-04-23,186
2015-04-24,1108
2015-04-25,718
2015-04-26,192
2015-04-27,492
2015-04-28,1174
2015-04-29,434
2015-04-30,1164
2015-05-04,-26
2015-05-05,172
2015-05-06,1490
2015-05-07,936
2015-05-08,388
2015-05-09,704
2015-05-10,590
2015-05-11,220
2015-05-12,818
2015-05-13,276
2015-05-14,678
2015-05-15,132
2015-05-16,390
2015-05-18,102
2015-05-19,545
2015-05-20,375
2015-05-21,108
2015-05-22,314
2015-05-23,116
2015-05-25,982
2015-05-26,596
2015-05-27,-190
2015-05-28,740
2015-05-29,56
2015-05-30,432
2015-05-31,36
2015-06-02,561
2015-06-03,1202
2015-06-04,888
2015-06-05,748
2015-06-06,576
2015-06-07,12
2015-06-08,1856
2015-06-09,428
2015-06-10,30
2015-06-11,762
2015-06-12,200
2015-06-13,322
2015-06-15,1010
2015-06-16,1048
2015-06-17,1984
2015-06-18,2348
2015-06-19,1128
2015-06-20,942
2015-06-22,356
2015-06-23,1706
2015-06-24,824
2015-06-25,732
2015-06-26,899
2015-06-27,640
2015-06-29,1648
2015-06-30,1328
2015-07-01,510
2015-07-02,16
2015-07-03,514
2015-07-04,432
2015-07-06,898
2015-07-07,1840
2015-07-08,480
2015-07-09,1228
2015-07-10,878
2015-07-11,228
2015-07-13,220
2015-07-14,542
2015-07-15,206
2015-07-16,120
2015-07-17,288
2015-07-18,10
2015-07-20,284
2015-07-21,514
2015-07-22,240
2015-07-23,1734
2015-07-24,854
2015-07-25,420
2015-07-27,371
2015-07-28,1032
2015-07-29,1376
2015-07-30,1578
2015-07-31,898
2015-08-03,424
2015-08-04,367
2015-08-05,502
2015-08-06,644
2015-08-07,942
