"YM","QTY"
"2015-01","85"
"2015-02","26"
"2015-03","40"
"2015-04","65"
"2015-05","193"
"2015-06","215"
"2015-07","121"
"2015-08","96"
"2015-09","226"
"2015-10","58"
"2015-11","39"
"2015-12","26"
"2016-01","156"
"2016-02","72"
"2016-03","52"
"2016-04","30"
"2016-05","174"
"2016-06","109"
"2016-07","65"
"2016-08","149"
"2016-09","150"
"2016-10","9"
"2016-11","166"
"2016-12","127"
"2017-01","77"
"2017-02","1567"
"2017-03","1128"
"2017-04","1068"
"2017-05","1354"
"2017-06","1598"
"2017-07","1365"
"2017-08","1758"
"2017-09","2139"
"2017-10","1613"
"2017-11","1831"
"2017-12","2204"
"2018-01","1358"
"2018-02","28"
"2018-03","3410"
"2018-04","361"
"2018-05","1550"
"2018-06","1654"
"2018-07","2457"
"2018-08","2281"
"2018-09","1312"
"2018-10","1335"
"2018-11","2642"
"2018-12","1624"
"2019-01","1178"
"2019-02","617"
"2019-03","2419"
"2019-04","1300"
"2019-05","973"
"2019-06","199"
"2019-07","9"
"2019-08","526"
"2019-09","4605"
"2019-10","2871"
"2019-11","1652"
"2019-12","1770"
"2020-01","3123"
"2020-02","140"
"2020-03","2326"
"2020-04","769"
"2020-05","1266"
"2020-06","1961"
"2020-07","1794"
"2020-08","459"
"2020-09","1143"
"2020-10","2402"
"2020-11","4223"
"2020-12","1939"
"2021-01","2296"
"2021-02","2811"
"2021-03","1087"
"2021-04","2593"
"2021-05","1548"
"2021-06","2310"
"2021-07","1702"
"2021-08","1043"
"2021-09","1882"
"2021-10","1855"
"2021-11","1319"
"2021-12","1622"
"2022-01","2025"
"2022-02","1594"
"2022-03","1080"
"2022-04","866"
"2022-05","2218"
"2022-06","3943"
"2022-07","2233"
"2022-08","2952"
"2022-09","420"
