"Cg","Datetime","Customer","Sku","Channel","qty","Amt"
"010011","2017-01-04","603165","013622","200","24","1296"
"010011","2017-01-06","115016","013622","200","1296","72057.6"
"010011","2017-01-06","603165","013622","200","48","2592"
"010011","2017-01-10","115016","013622","200","1440","80064"
"010011","2017-01-12","115016","013622","200","1584","88070.4"
"010011","2017-01-12","601001","013622","200","480","23788.8"
"010011","2017-01-17","115016","013622","200","2280","126768"
"010011","2017-01-17","601001","013622","200","600","29736"
"010011","2017-01-20","115016","013622","200","1200","66720"
"010011","2017-01-24","115016","013622","200","1440","80064"
"010011","2017-01-27","115016","013622","200","2400","133440"
"010011","2017-02-03","115016","013622","200","2400","133440"
"010011","2017-02-06","601001","013622","200","240","11894.4"
"010011","2017-02-08","115016","013622","200","1920","106752"
"010011","2017-02-09","115016","013622","200","1920","106752"
"010011","2017-02-10","603165","013622","200","72","3600"
"010011","2017-02-16","603165","013622","200","48","2544"
"010011","2017-02-17","115016","013622","200","2280","126768"
"010011","2017-02-17","601001","013622","200","240","11894.4"
"010011","2017-02-17","603165","013622","200","432","23328"
"010011","2017-02-23","115016","013622","200","3000","166800"
"010011","2017-02-23","601001","013622","200","240","11894.4"
"010011","2017-03-01","115016","013622","200","1800","100080"
"010011","2017-03-03","115016","013622","200","1440","80064"
"010011","2017-03-06","115016","013622","200","2400","133440"
"010011","2017-03-08","115016","013622","200","1920","106752"
"010011","2017-03-14","115016","013622","200","1560","86736"
"010011","2017-03-17","115016","013622","200","1080","60048"
"010011","2017-03-20","115016","013622","200","1800","100080"
"010011","2017-03-23","115016","013622","200","1080","60048"
"010011","2017-03-24","601001","013622","200","840","41412"
"010011","2017-03-24","603165","013622","200","216","11448"
"010011","2017-03-29","115016","013622","200","1440","80064"
"010011","2017-03-29","603165","013622","200","240","12720"
"010011","2017-03-30","115016","013622","200","1080","60048"
"010011","2017-03-30","603165","013622","200","240","12720"
"010011","2017-04-05","115016","013622","200","1440","80064"
"010011","2017-04-07","115016","013622","200","1560","86736"
"010011","2017-04-11","115016","013622","200","1320","73392"
"010011","2017-04-17","115016","013622","200","336","18681.6"
"010011","2017-04-17","603165","013622","200","96","4797.12"
"010011","2017-04-18","603165","013622","200","96","4797.12"
"010011","2017-04-19","601001","013622","200","600","29580"
