"Cg","Datetime","Customer","Sku","Channel","qty","Amt"
"010012","2017-01-04","691001","027018","200","2","142.0561"
"010012","2017-01-05","691001","027018","200","10","568.2243"
"010012","2017-01-11","115016","027018","200","936","52041.6"
"010012","2017-01-20","612026","027018","200","240","11949.6"
"010012","2017-01-21","612026","027018","200","288","14339.52"
"010012","2017-01-23","691001","027018","200","1","71.028"
"010012","2017-01-27","691001","027018","200","1","56.8224"
"010012","2017-01-28","115016","027018","200","744","41366.4"
"010012","2017-02-10","603165","027018","200","24","1208.4"
"010012","2017-02-16","115016","027018","200","888","49372.8"
"010012","2017-02-16","691001","027018","200","3","170.4673"
"010012","2017-03-07","115016","027018","200","720","40032"
"010012","2017-03-23","115016","027018","200","360","20016"
"010012","2017-03-29","691001","027018","200","6","426.1682"
"010012","2017-04-08","115016","027018","200","744","41366.4"
"010012","2017-04-19","691001","027018","200","1","71.028"
"010012","2017-05-15","691001","027018","200","10","710.2804"
"010012","2017-05-17","115016","027018","200","840","46704"
"010012","2017-05-18","691001","027018","200","2","142.0561"
"010012","2017-05-26","691001","027018","200","1","56.8224"
"010012","2017-05-27","612026","027018","200","240","11949.6"
"010012","2017-06-14","115016","027018","200","840","46704"
"010012","2017-06-14","615093","027018","200","24","1334.4"
"010012","2017-07-06","115016","027018","200","1008","56044.8"
"010012","2017-07-15","612026","027018","200","144","7169.76"
"010012","2017-07-19","615059","027018","200","24","1334.4"
"010012","2017-07-24","691001","027018","200","1","71.028"
"010012","2017-08-01","115016","027018","200","576","32025.6"
"010012","2017-08-02","612026","027018","200","240","11949.6"
"010012","2017-08-22","115016","027018","200","960","53376"
"010012","2017-09-08","115016","027018","200","576","32025.6"
"010012","2017-09-20","603165","027018","200","24","1199.28"
"010012","2017-09-25","691001","027018","200","1","71.028"
"010012","2017-09-27","603165","027018","200","24","1199.28"
"010012","2017-10-11","115016","027018","200","672","37363.2"
"010012","2017-10-18","603165","027018","200","72","3597.84"
"010012","2017-10-27","603165","027018","200","24","1199.28"
"010012","2017-11-03","612026","027018","200","120","5996.4"
"010012","2017-11-09","612026","027018","200","120","5996.4"
"010012","2017-11-11","603165","027018","200","168","8394.96"
"010012","2017-11-22","691001","027018","200","1","71.028"
"010012","2017-11-23","612026","027018","200","120","5996.4"
"010012","2017-11-24","115016","027018","200","840","46704"
"010012","2017-12-02","612026","027018","200","144","7195.68"
"010012","2017-12-09","115016","027018","200","456","25353.6"
"010012","2017-12-14","612026","027018","200","120","5996.4"
"010012","2017-12-26","115016","027018","200","312","17347.2"
"010012","2018-01-04","691001","027018","200","1","71.028"
"010012","2018-01-11","115016","027018","200","696","38697.6"
"010012","2018-01-15","603165","027018","200","72","3597.84"
"010012","2018-01-17","115016","027018","200","408","22684.8"
"010012","2018-02-01","115016","027018","200","648","36028.8"
"010012","2018-02-09","612026","027018","200","192","9559.68"
"010012","2018-02-15","115016","027018","200","816","45369.6"
"010012","2018-02-24","603165","027018","200","24","1199.28"
"010012","2018-02-24","612026","027018","200","240","11949.6"
"010012","2018-03-05","115016","027018","200","528","29356.8"
"010012","2018-03-14","603165","027018","200","48","2398.56"
"010012","2018-03-24","115016","027018","200","696","38697.6"
"010012","2018-03-30","115016","027018","200","600","33360"
"010012","2018-03-30","603165","027018","200","168","8394.96"
"010012","2018-04-10","115016","027018","200","576","32025.6"
"010012","2018-05-07","115016","027018","200","408","22684.8"
"010012","2018-05-12","115016","027018","200","264","14678.4"
"010012","2018-05-19","115016","027018","200","168","9340.8"
"010012","2018-06-01","115016","027018","200","24","1334.4"
"010012","2018-06-06","115016","027018","200","960","53376"
"010012","2018-06-22","115016","027018","200","456","25353.6"
"010012","2018-06-30","603165","027018","200","24","1199.28"
"010012","2018-07-16","612030","027018","200","4","317.757"
"010012","2018-07-18","603165","027018","200","72","3597.84"
"010012","2018-08-01","115016","027018","200","456","25353.6"
"010012","2018-08-06","603165","027018","200","24","1199.28"
"010012","2018-08-06","612030","027018","200","3","238.3178"
"010012","2018-08-08","603165","027018","200","120","5996.4"
"010012","2018-08-20","612030","027018","200","1","79.4393"
"010012","2018-08-29","612030","027018","200","2","143.9252"
"010012","2018-08-31","115016","027018","200","600","33360"
"010012","2018-09-05","115016","027018","200","696","38697.6"
"010012","2018-09-10","612026","027018","200","72","3597.84"
"010012","2018-09-12","620160","027018","200","24","1334.64"
"010012","2018-09-14","612026","027018","200","72","3597.84"
"010012","2018-09-17","612030","027018","200","1","79.4393"
"010012","2018-09-22","612030","027018","200","12","897.1963"
"010012","2018-09-26","619433","027018","200","1","79.4393"
"010012","2018-10-03","619433","027018","200","24","1777.9346"
"010012","2018-10-05","619433","027018","200","24","1530.9813"
"010012","2018-10-10","619433","027018","200","12","897.1963"
