,Quarter,Region,State,Purpose,Trips
0,2015-01-05,155285,691001,4392711.47270001,49012.1587
1,2015-01-06,163365,691001,5839155.95000004,42186.2151
2,2015-01-07,168346,691001,7332038.22280003,68905.5874
3,2015-01-08,138004,691001,7069219.518,91985.2272
4,2015-01-09,18566,691001,5025787.23859997,58531.0106
5,2015-01-10,141790,864001,6273834.27999999,70374.3123
6,2015-01-11,176709,115016,1697880.03,10065
7,2015-01-12,148980,691001,7405861.37239998,198681.0508
8,2015-01-13,151164,691001,7926003.00569997,149390.9957
9,2015-01-14,143305,691001,9041228.30660003,145251.8955
10,2015-01-15,137175,691001,10839009.9272,118086.1347
11,2015-01-16,209216,691001,12747578.0570999,145579.7999
12,2015-01-17,163471,119224,11650651.94,95924.5367
13,2015-01-19,161064,691001,6612015.62029997,74237.5149
14,2015-01-20,173395,691001,8043820.37720005,78943.7778999999
15,2015-01-21,105068,691001,8926611.10889999,31391.4657000001
16,2015-01-22,43223,105022,9047560.00000002,55891.9776
17,2015-01-23,196554,711005,18770333.7199999,611157.6168
18,2015-01-24,114794,522027,12872342.39,108538.7585
19,2015-01-26,145637,691001,7887992.95999997,98049.9786
20,2015-01-27,183059,691001,10579600.656,93118.234
21,2015-01-28,120146,691001,11367078.7624,132133.6041
22,2015-01-29,30063,691001,14035615.3007,166194.0473
23,2015-01-30,194895,691001,14072057.5554999,491881.0673
24,2015-01-31,119171,119408,5406209.5,46390.087
25,2015-02-01,210410,202079,989361.04,5559.3333
26,2015-02-02,159559,691001,8620160.59779993,113811.1762
27,2015-02-03,188986,691001,6287242.8456,44871.2232
28,2015-02-04,89771,691001,7343638.007,51075.6386
29,2015-02-05,189044,691001,8218521.48740001,67680.8489
30,2015-02-06,200213,691001,1894024.994,11555.2078
31,2015-02-07,192983,226001,8232755.81000003,45085.2
32,2015-02-08,105006,202149,911570.399999999,4739.6
33,2015-02-09,170080,691001,10422692.4026,124787.4543
34,2015-02-10,137878,691001,2689155.21470006,112252.3805
35,2015-02-11,209216,691001,16500407.7859999,116679.791
36,2015-02-12,202415,691001,10022250.0698,82637.2843
37,2015-02-13,200718,691007,10015033.5105,89657.2602
38,2015-02-14,123321,203091,11022107.25,92465.8167
39,2015-02-16,107352,691001,9746812.08599991,147508.2892
40,2015-02-17,134952,691001,11613478.0282,75653.0921
41,2015-02-18,97035,691001,485440.3368,2751.6284
42,2015-02-19,109363,508016,63192,1251
43,2015-02-20,177027,691001,891744.462,8817.5489
44,2015-02-21,206338,501038,530140.68,3360
45,2015-02-23,32142,691001,6869665.60290001,167818.9026
46,2015-02-24,145668,691001,8936943.08110001,69480.3396
47,2015-02-25,123321,691001,10051920.6618001,91318.313
48,2015-02-26,129149,691001,13913369.7417,439528.2653
49,2015-02-27,25021,691001,21295605.3433,549264.7977
50,2015-02-28,175412,101010,9001255.63999999,54245.0361
51,2015-03-01,200145,206005,4715089.84000001,52118.5
52,2015-03-02,183660,691001,6551127.69169996,48982.7979000001
