,"Quarter","Region","State","Trips","Purpose"
0,"2015-01-05","004460","691001","561","329982.0854"
1,"2015-01-06","139957","219007","4135","658371.7300000002"
2,"2015-01-07","013622","691001","2577","1103460.9794000003"
3,"2015-01-08","013622","218076","13113","1855006.639999999"
4,"2015-01-09","075743","619295","758","308096.55000000104"
5,"2015-01-10","004477","618076","1375","470329.40000000014"
6,"2015-01-11","094867","115016","1001","299719.5200000002"
7,"2015-01-12","122058","691001","3073","1243106.2450999988"
8,"2015-01-13","111403","691001","1797","835527.6762000002"
9,"2015-01-14","081195","864001","5797","1072987.28"
10,"2015-01-15","122140","691001","2596","1155789.5671999997"
11,"2015-01-16","204815","691001","2004","1034855.2546000003"
12,"2015-01-17","018511","125011","6322","2306536.27"
13,"2015-01-19","194390","691001","3088","1254395.2594000015"
14,"2015-01-20","111397","691001","-8068","-57510.77800000143"
15,"2015-01-21","150082","691001","1243","916991.0877999988"
16,"2015-01-22","094560","702009","1642","793550.2700000003"
17,"2015-01-23","196554","711005","10694","2423306.9199999976"
18,"2015-01-24","013622","207014","6658","2529552.0800000015"
19,"2015-01-26","110642","219283","-5425","1733626.769999998"
20,"2015-01-27","111403","691001","2849","1459907.4156999993"
21,"2015-01-28","150082","691001","10338","1805385.149100001"
22,"2015-01-29","111397","691001","2931","1334349.6540999983"
23,"2015-01-30","150488","691001","2356","1135754.485799999"
24,"2015-01-31","111397","220276","6412","1104914.9000000013"
25,"2015-02-01","011734","202079","396","105037.26"
26,"2015-02-02","162450","691001","1227","654631.8057999995"
27,"2015-02-03","027018","691001","1291","615038.9591000002"
28,"2015-02-04","077921","691001","2031","1063035.2493999992"
29,"2015-02-05","077938","691001","3060","1347717.4785999993"
30,"2015-02-06","011734","202174","807","430466.8500000001"
31,"2015-02-07","018511","619295","2677","1401181.3999999992"
32,"2015-02-08","153762","211232","399","137176.78"
33,"2015-02-09","139803","691001","3586","1623845.853599998"
34,"2015-02-10","150082","691001","2672","891558.6382"
35,"2015-02-11","081195","115016","4143","1261919.8899999992"
36,"2015-02-12","150082","691001","2516","1247246.269699998"
37,"2015-02-13","149437","691001","4943","2582043.2914999984"
38,"2015-02-14","122126","105022","5667","2606692.169999996"
39,"2015-02-16","151386","691001","4149","1746530.2757999978"
40,"2015-02-17","167912","691001","9109","4155503.2492000065"
41,"2015-02-18","042271","691001","0","423.9252"
42,"2015-02-20","150105","691001","0","269.1588"
43,"2015-02-21","042288","612026","197","82859.08"
44,"2015-02-23","139803","691001","1326","687672.6855999999"
45,"2015-02-24","150143","691001","4169","1999674.099399995"
46,"2015-02-25","077938","691001","2743","1395798.6054999982"
47,"2015-02-26","162450","691001","2488","1179403.5157999985"
48,"2015-02-27","011734","691001","3844","1327755.6983999996"
49,"2015-02-28","150143","220291","4720","1729142.6099999996"
50,"2015-03-01","101916","219631","2627","944597.3799999999"
51,"2015-03-02","110666","203205","2282","966438.0299999997"
52,"2015-03-03","042288","691001","2745","1344972.202399998"
53,"2015-03-04","011734","210044","426","245919.69000000006"
54,"2015-03-05","027001","691001","4146","1564096.769399998"
55,"2015-03-06","204815","691001","3554","1238579.8671999988"
56,"2015-03-07","167899","219441","997","424297.8499999998"
57,"2015-03-08","011734","213108","2746","1489292.2899999993"
58,"2015-03-09","027018","691001","2772","1235711.1677999983"
59,"2015-03-10","122065","691001","3591","1390653.0139999993"
60,"2015-03-11","150105","691001","3930","1861893.3494999998"
61,"2015-03-12","150082","691001","2563","1229037.9410999985"
62,"2015-03-13","013622","102068","2889","1537477.6899999997"
63,"2015-03-14","011734","123046","1728","754381.5499999998"
64,"2015-03-15","110642","219364","469","224972.92999999996"
65,"2015-03-16","077921","216028","3345","1571683.0199999996"
66,"2015-03-17","013622","701022","1351","1289279.58"
67,"2015-03-18","150075","691001","-683","675331.9243000002"
68,"2015-03-19","150099","691001","2694","1287813.9068999982"
69,"2015-03-20","196530","720006","6307","1113445.62"
70,"2015-03-21","122058","618084","46","26177.27"
71,"2015-03-22","016913","125004","3729","1878798.7699999984"
72,"2015-03-23","018511","691001","3360","1501132.0082999987"
73,"2015-03-24","167905","691001","2395","1251477.2318"
74,"2015-03-25","153762","691001","1506","756986.8688999993"
75,"2015-03-26","086510","691001","7980","2911820.262900001"
76,"2015-03-27","086510","691001","3172","1423902.7479999964"
77,"2015-03-28","018535","211071","3076","1609195.5599999987"
78,"2015-03-30","018511","691001","2003","911797.0630000004"
79,"2015-03-31","111397","691001","15797","1890490.2625999972"
80,"2015-04-01","111397","691001","4282","1847881.4582999977"
81,"2015-04-02","153762","691001","2796","1637705.9187000017"
82,"2015-04-03","086510","691001","6575","2980479.1902"
83,"2015-04-04","018511","103097","3554","1886514.9500000002"
84,"2015-04-06","110673","691001","5143","2337478.5167000005"
85,"2015-04-07","139803","691001","1381","742737.4762999988"
86,"2015-04-08","196363","711005","14499","1225296.9300000053"
87,"2015-04-09","018535","619295","1256","633738.8599999995"
88,"2015-04-10","018535","691001","3778","1733636.4796999998"
89,"2015-04-11","076467","119430","1106","583844.3399999999"
90,"2015-04-16","013622","213088","4601","2312472.839999998"
91,"2015-04-17","027001","691001","1673","891088.6779999975"
92,"2015-04-18","018511","202007","2665","1280265.7"
93,"2015-04-19","013622","111086","1116","541572.9100000003"
94,"2015-04-20","167899","691001","2299","1123934.1506999994"
95,"2015-04-21","042288","691001","4575","1688750.0414999996"
96,"2015-04-22","122072","691001","1481","692324.8896999996"
97,"2015-04-23","011734","210030","1252","645399.1400000005"
98,"2015-04-24","153779","691001","2804","1358914.435399996"
99,"2015-04-25","101916","612026","5788","2458677.4999999986"
100,"2015-04-26","011734","606166","508","223219.7500000001"
101,"2015-04-27","061982","619217","1436","670607.4899999998"
102,"2015-04-28","013875","691001","1067","765881.0512999978"
103,"2015-04-29","016906","691001","-594","1382925.5466999998"
104,"2015-04-30","139803","691001","4368","2148450.472799998"
105,"2015-05-04","076467","211232","1259","637626.0099999997"
106,"2015-05-05","011734","203139","1918","1107230.9599999979"
107,"2015-05-06","101916","691001","2823","1512996.5221999998"
108,"2015-05-07","076467","691001","2981","1532441.5084000004"
109,"2015-05-08","122058","702009","15142","1724606.3099999954"
110,"2015-05-09","013622","210076","2602","1379951.8699999996"
111,"2015-05-10","011734","102075","1932","846935.8799999998"
112,"2015-05-11","150105","691001","975","484756.53300000017"
113,"2015-05-12","153762","691001","1940","945603.2641999986"
114,"2015-05-13","027018","701022","-547","-141612.1800000004"
115,"2015-05-14","111397","691001","3301","1667487.2411999989"
116,"2015-05-15","167905","691001","1244","537260.2239"
117,"2015-05-16","079994","615026","3113","1331056.38"
118,"2015-05-18","110659","691001","2212","778690.5110000004"
119,"2015-05-19","061982","619217","3750","1816622.5600000005"
120,"2015-05-20","027001","691001","2512","1269651.9397000005"
121,"2015-05-21","194406","691001","1905","869783.3485000003"
122,"2015-05-22","139803","691001","2782","1278816.9727999994"
123,"2015-05-23","011734","123046","1983","879472.9099999995"
124,"2015-05-24","118358","615031","49","12319.38"
125,"2015-05-25","151386","691001","3250","1382504.9923999999"
126,"2015-05-26","122072","691001","2541","1044062.5136"
127,"2015-05-27","111403","691001","339","105096.46460000005"
128,"2015-05-28","194390","691001","1913","934176.3429999998"
129,"2015-05-29","086510","691001","2116","364714.1463999995"
130,"2015-05-30","075583","605045","971","524563.2300000004"
131,"2015-05-31","042288","102033","407","190759.28000000006"
132,"2015-06-02","235086","202074","2538","1161715.330000001"
133,"2015-06-03","086510","691001","4422","2174424.8256999985"
134,"2015-06-04","153779","720006","13108","2120036.7299999977"
135,"2015-06-05","167905","691001","2841","1434912.4667000002"
136,"2015-06-06","061807","615052","2297","1158178.8699999992"
137,"2015-06-07","234881","619295","362","155697.88"
138,"2015-06-08","122126","691001","4397","2379341.9974999973"
139,"2015-06-09","162450","691001","3768","1595125.4678999986"
140,"2015-06-10","111397","691001","3294","1476210.145999999"
141,"2015-06-11","122065","691001","3851","1726500.0410999989"
142,"2015-06-12","150143","691001","2427","946654.3454999994"
143,"2015-06-13","079987","619217","1683","781856.4100000003"
144,"2015-06-15","204839","691001","4067","1999539.7027000005"
145,"2015-06-16","122126","691001","2658","1280217.0697000006"
