"Datetime","Sku","Customer","Qty","Amt"
"1/5/2015","691001","161941","256.4999","40865.552299999996"
"1/6/2015","691001","144548","797.25","155331.8378999999"
"1/7/2015","691001","168346","1232.9366","208130.49880000018"
"1/8/2015","691001","138004","625.9994","73925.73690000003"
"1/9/2015","691001","150686","1175.1664","169631.13810000007"
"1/10/2015","202080","150679","3125","431616.4500000005"
"1/11/2015","619217","150679","626","104139.82000000004"
"1/12/2015","691001","171179","1860.9166","219577.5428000001"
"1/13/2015","691001","168339","2219.4999","301118.8638999999"
"1/14/2015","691001","148645","1135.7499","138621.50389999995"
"1/15/2015","691001","183424","1476.4166","243995.56399999975"
"1/16/2015","691001","159559","1387.4165","216252.2025999999"
"1/17/2015","219464","150679","2169","228883.88999999993"
"1/19/2015","691001","168346","1627.5834","152968.39620000013"
"1/20/2015","691001","167110","2244.5833000000002","245536.8173999998"
"1/21/2015","691001","123321","3788.9165","348511.3246999994"
"1/22/2015","219162","116347","1759","253022.4799999998"
"1/23/2015","711005","134952","5845","567696.4099999991"
"1/24/2015","210014","148690","3514","450610.15000000026"
"1/26/2015","691001","165048","3256.6666999999998","287282.65600000037"
"1/27/2015","691001","159559","2512.0402","348422.85560000024"
"1/28/2015","691001","167110","4524.9166000000005","480237.4266999993"
"1/29/2015","691001","138851","1630.0833","198823.7059"
"1/30/2015","691001","148652","1217.7499","197649.79780000006"
"1/31/2015","203078","148690","1081","148012.91000000012"
"2/1/2015","202163","167110","237","44339.19999999999"
"2/2/2015","691001","159559","1452.4365","191650.65180000002"
"2/3/2015","691001","183462","3659.4166","435702.37409999984"
"2/4/2015","691001","173449","732.6664000000001","120138.5411000001"
"2/5/2015","691001","159566","1264.2498","203398.3413"
"2/6/2015","691001","192181","284.0833","63041.8887"
"2/7/2015","219683","806514","3882","377513.4399999998"
"2/8/2015","602202","116347","404","62803.95000000002"
"2/9/2015","691001","148720","1924.5833","226490.97189999995"
"2/10/2015","691001","162559","2335.0833000000002","339263.2458000001"
"2/11/2015","691001","148720","2774.8532999999998","303917.6462999999"
"2/12/2015","691001","148720","2021.0798","250355.29069999995"
"2/13/2015","691001","159894","1334.9998","254364.86209999974"
"2/14/2015","203091","123321","1848","282287.4599999994"
"2/16/2015","691001","148720","1874.1664","198172.66240000003"
"2/17/2015","691001","134952","2415.8332","279094.8917000004"
"2/18/2015","691001","183424","5","788.7851999999999"
"2/20/2015","691001","148720","7.999800000000001","1656.2617999999998"
"2/21/2015","613035","134945","273","37979.63999999999"
"2/23/2015","691001","144210","955.4166","205468.87229999996"
"2/24/2015","691001","123338","773.0831000000001","122167.08109999991"
"2/25/2015","691001","123321","3801.9165000000003","463875.57549999986"
"2/26/2015","691001","144562","2850.5832","346694.97389999987"
"2/27/2015","691001","159894","1809.2499","207236.46929999976"
"2/28/2015","125004","148690","2376","267438.83"
"3/1/2015","619295","166922","866","138011.29000000007"
"3/2/2015","691001","167110","1542.8333","166965.85800000004"
"3/3/2015","691001","150686","433.6666","63305.33790000002"
"3/4/2015","222022","173500","461","51769.72000000001"
"3/5/2015","691001","159894","1485.0832","239738.7164000001"
"3/6/2015","691001","144548","661.3333","117428.19680000002"
"3/7/2015","601003","179533","1469","228627.47999999978"
"3/8/2015","211255","123321","2477","332428.8"
"3/9/2015","691001","137984","1088.9998","170915.6231"
"3/10/2015","691001","162566","1439.0832","200428.51569999987"
"3/11/2015","691001","148652","5380.0833999999995","568029.1342999999"
"3/12/2015","691001","159894","8523.3333","991669.5156999996"
"3/13/2015","691001","116323","3562.9166","439363.84510000015"
"3/14/2015","125011","136208","3199","461889.8399999999"
"3/15/2015","119322","148690","1771","308225.0100000002"
"3/16/2015","691001","134952","2541.4166999999998","290378.99559999997"
"3/17/2015","691001","194482","1891.9165","269285.0447"
"3/18/2015","691001","144210","2476.6665000000003","274989.95269999997"
"3/19/2015","691001","134952","12603.8333","1103523.845899999"
"3/20/2015","691001","148744","3335.4365","404329.9367999999"
"3/21/2015","202173","116330","446","73356.90999999997"
"3/22/2015","204064","142834","2221","198090.4299999999"
"3/23/2015","691001","137984","2106.083","309325.7867"
"3/24/2015","691001","194482","1271.9165","176725.72539999997"
"3/25/2015","691001","144203","1426","201404.16160000002"
"3/26/2015","691001","144555","1064.2489","153777.1534000002"
"3/27/2015","691001","123321","1163.166","187545.47650000016"
"3/28/2015","691001","192181","1427.8328999999999","165887.61770000003"
"3/29/2015","691001","194512","7.582400000000001","1160.7487000000003"
"3/30/2015","691001","123321","1402.5832","222707.3398000001"
"3/31/2015","691001","192181","740.0831000000001","145034.75360000005"
"4/1/2015","691001","163631","1405.3533","229914.4425"
"4/2/2015","691001","173500","2001.3334","318723.24249999976"
"4/3/2015","691001","148690","1385.8333","202043.68069999994"
"4/4/2015","202159","134952","869","159718.38000000003"
"4/6/2015","691001","183448","1487.333","193763.43250000034"
"4/7/2015","691001","123338","1780.7498","267724.4582000001"
"4/8/2015","691001","192181","2384.4997000000003","222082.96859999985"
"4/9/2015","691001","148690","1163.1665","160112.87580000018"
"4/10/2015","691001","192181","3244.1666","468571.7945000001"
"4/11/2015","603160","137953","571","79855.64000000001"
"4/16/2015","691001","148690","3551.9166999999998","534736.1010000001"
"4/17/2015","691001","150679","6006.9164","463088.5857999986"
"4/18/2015","602256","159559","2747","279639.5100000001"
"4/19/2015","619295","151133","1318","131791.98000000004"
"4/20/2015","691001","148690","2348.0831","230331.94800000015"
"4/21/2015","691001","173517","1712.5832","174275.37859999982"
"4/22/2015","691001","192181","1373.6666","105837.05300000004"
"4/23/2015","691001","194512","903.2499","93785.44209999997"
"4/24/2015","691001","148744","1517.5833","299082.47609999974"
"4/25/2015","202073","134945","3492","840663.7300000008"
"4/26/2015","612026","148652","643","70040.29999999997"
"4/27/2015","691001","148720","5127.1664","775169.4827999993"
"4/28/2015","691001","163631","1604.0001","257853.04479999962"
"4/29/2015","691001","194512","1673.7499","147821.8016"
"4/30/2015","691001","139162","1259.5833","188931.58399999974"
"5/4/2015","691001","194482","1160.3331","151318.978"
"5/5/2015","603160","192877","2181","263949.94999999984"
"5/6/2015","691001","123321","2747.9166","297685.4214999989"
"5/7/2015","691001","173517","2222.4164","240124.68629999986"
"5/8/2015","691001","123321","2769.4164","553867.5368999995"
"5/9/2015","101076","173401","2194","253346.0599999999"
"5/10/2015","602207","116323","1769","198169.51999999984"
"5/11/2015","691001","161934","1529.1665","152536.10399999996"
"5/12/2015","691001","123321","5816.9165","654158.475"
"5/13/2015","691001","173500","5408.2498","663099.9529999994"
"5/14/2015","691001","150686","3840.75","632383.6397999997"
"5/15/2015","691001","173500","2657.0833000000002","334112.08049999946"
"5/16/2015","603160","192846","3913","479265.2199999994"
