"Datetime","Cg","Customer","Sku","Qty","Amt"
"2015-01","010011","101049","013622","40","22783.36"
"2015-01","010011","101064","013622","110","62704.68"
"2015-01","010011","101081","013622","10","6002.4"
"2015-01","010011","102008","013622","450","248904"
"2015-01","010011","102009","013622","70","38718.62"
"2015-01","010011","102068","013622","600","331740"
"2015-01","010011","102078","013622","40","22124.92"
"2015-01","010011","102094","013622","100","55312.31"
"2015-01","010011","102119","013622","4","2609.76"
"2015-01","010011","102122","013622","10","5822.33"
"2015-01","010011","102136","013622","4","2479.28"
"2015-01","010011","103003","013622","70","40756.1"
"2015-01","010011","103046","013622","2","1239.64"
"2015-01","010011","103062","013622","30","17466.98"
"2015-01","010011","103132","013622","100","54482.47"
"2015-01","010011","103133","013622","80","44249.85"
"2015-01","010011","103147","013622","214","118368.34"
"2015-01","010011","105022","013622","104","55798.75"
"2015-01","010011","106001","013622","10","6002.4"
"2015-01","010011","106007","013622","2","1164.47"
"2015-01","010011","106013","013622","2","1239.64"
"2015-01","010011","110028","013622","150","82968.46"
"2015-01","010011","110035","013622","20","11644.6"
"2015-01","010011","112028","013622","42","25210.08"
"2015-01","010011","113006","013622","40","23289.31"
"2015-01","010011","114031","013622","650","352891.32999999996"
"2015-01","010011","114078","013622","160","91236.8"
"2015-01","010011","115002","013622","300","171069"
"2015-01","010011","115016","013622","400","266880"
"2015-01","010011","115023","013622","2","1164.47"
"2015-01","010011","115030","013622","140","77437.23"
"2015-01","010011","116059","013622","6","3493.3999999999996"
"2015-01","010011","116101","013622","108","60994.41"
"2015-01","010011","116114","013622","6","3523.2"
"2015-01","010011","119009","013622","50","28511.5"
"2015-01","010011","119023","013622","200","110624.62"
"2015-01","010011","119057","013622","40","20835.6"
"2015-01","010011","119216","013622","70","39870.88"
"2015-01","010011","119226","013622","6","3493.4"
"2015-01","010011","119312","013622","4","2400.96"
"2015-01","010011","119352","013622","2","1202.45"
"2015-01","010011","119366","013622","2","1152.46"
"2015-01","010011","119415","013622","40","21896.83"
"2015-01","010011","119442","013622","100","53652.64"
"2015-01","010011","119444","013622","40","21896.83"
"2015-01","010011","119457","013622","2","1200.48"
"2015-01","010011","119460","013622","32","18247.36"
"2015-01","010011","120009","013622","20","11884.8"
"2015-01","010011","120073","013622","70","39916.1"
"2015-01","010011","120099","013622","296","168788.08000000002"
"2015-01","010011","120172","013622","16","9603.84"
"2015-01","010011","120201","013622","6","3421.38"
"2015-01","010011","120206","013622","40","22809.2"
"2015-01","010011","121032","013622","20","11764.8"
"2015-01","010011","121038","013622","40","21896.83"
"2015-01","010011","122022","013622","12","6777.16"
"2015-01","010011","122045","013622","30","17106.9"
"2015-01","010011","125004","013622","96","35024.68"
"2015-01","010011","125011","013622","512","267240"
"2015-01","010011","176044","013622","10","6002.4"
"2015-01","010011","201017","013622","60","34933.8"
"2015-01","010011","201091","013622","20","11884.8"
"2015-01","010011","201106","013622","40","23289.2"
"2015-01","010011","201224","013622","4","2400.96"
"2015-01","010011","201232","013622","10","6002.4"
"2015-01","010011","202047","013622","40","22809.2"
"2015-01","010011","202050","013622","40","24009.6"
"2015-01","010011","202051","013622","10","5942.4"
"2015-01","010011","202063","013622","50","30012"
"2015-01","010011","202065","013622","8","4958.56"
"2015-01","010011","202073","013622","1","667.2"
"2015-01","010011","202074","013622","1","667.2"
"2015-01","010011","202118","013622","30","18007.199999999997"
"2015-01","010011","202126","013622","46","26642.9"
"2015-01","010011","202151","013622","20","12004.8"
"2015-01","010011","202159","013622","1","667.2"
"2015-01","010011","202165","013622","14","8403.36"
"2015-01","010011","202177","013622","1","667.2"
"2015-01","010011","203033","013622","10","6002.4"
"2015-01","010011","203060","013622","30","17827.2"
"2015-01","010011","203091","013622","20","10730.53"
"2015-01","010011","203093","013622","4","2400.96"
"2015-01","010011","203103","013622","10","5822.3"
"2015-01","010011","203137","013622","42","24458.92"
"2015-01","010011","203203","013622","20","12004.8"
"2015-01","010011","203222","013622","6","3601.44"
"2015-01","010011","203225","013622","10","6002.4"
"2015-01","010011","203227","013622","8","4801.92"
"2015-01","010011","203266","013622","2","1200.48"
"2015-01","010011","204005","013622","200","110624.62"
"2015-01","010011","204045","013622","4","2400.96"
"2015-01","010011","204057","013622","40","22940"
"2015-01","010011","204077","013622","4","2376.96"
"2015-01","010011","207014","013622","6","3493.38"
"2015-01","010011","207015","013622","20","12004.8"
"2015-01","010011","207023","013622","6","3601.44"
"2015-01","010011","208006","013622","20","11764.8"
"2015-01","010011","208019","013622","100","55882.54"
"2015-01","010011","208045","013622","10","6002.4"
"2015-01","010011","209013","013622","20","12004.8"
"2015-01","010011","209016","013622","10","5822.33"
"2015-01","010011","210011","013622","20","11644.66"
"2015-01","010011","210025","013622","12","6986.76"
"2015-01","010011","210035","013622","2","1200.48"
"2015-01","010011","210040","013622","4","2400.96"
"2015-01","010011","210049","013622","6","3529.44"
"2015-01","010011","211071","013622","16","9507.8"
"2015-01","010011","211082","013622","50","27656"
"2015-01","010011","211110","013622","60","34933.8"
"2015-01","010011","211114","013622","60","33885.6"
"2015-01","010011","211147","013622","4","2400.96"
"2015-01","010011","211156","013622","4","2328.93"
"2015-01","010011","211170","013622","40","23769.6"
"2015-01","010011","211178","013622","12","7202.88"
"2015-01","010011","211179","013622","22","13205.28"
"2015-01","010011","211214","013622","2","1200.48"
"2015-01","010011","211232","013622","1","667.2"
"2015-01","010011","211237","013622","4","2305.65"
"2015-01","010011","211238","013622","72","40662.72"
"2015-01","010011","212003","013622","48","26549.76"
"2015-01","010011","212018","013622","40","21912.69"
"2015-01","010011","212022","013622","20","12004.8"
"2015-01","010011","212031","013622","130","74129.9"
"2015-01","010011","213003","013622","298","164830.68000000002"
"2015-01","010011","213025","013622","6","3601.44"
"2015-01","010011","213028","013622","12","7130.88"
"2015-01","010011","213034","013622","10","5822.3"
"2015-01","010011","213054","013622","30","16860.9"
"2015-01","010011","213088","013622","10","6002.4"
"2015-01","010011","213160","013622","2","1200.48"
"2015-01","010011","214031","013622","50","29412"
"2015-01","010011","214050","013622","32","18247.04"
"2015-01","010011","214053","013622","20","12004.8"
"2015-01","010011","214065","013622","300","165936"
"2015-01","010011","214082","013622","74","42197.020000000004"
"2015-01","010011","214169","013622","4","2400.96"
"2015-01","010011","214170","013622","12","7202.88"
"2015-01","010011","215010","013622","100","57350"
"2015-01","010011","215024","013622","10","6002.4"
"2015-01","010011","216010","013622","20","12004.8"
"2015-01","010011","216050","013622","36","21176.64"
"2015-01","010011","216073","013622","20","11295.26"
"2015-01","010011","216109","013622","10","6002.4"
"2015-01","010011","216149","013622","80","45880"
"2015-01","010011","216208","013622","8","4801.92"
"2015-01","010011","216239","013622","10","6002.4"
"2015-01","010011","216240","013622","60","34933.8"
"2015-01","010011","216270","013622","10","6002.4"
"2015-01","010011","216271","013622","12","7202.88"
"2015-01","010011","216272","013622","30","17466.9"
"2015-01","010011","216298","013622","20","11764.8"
"2015-01","010011","216338","013622","10","5942.4"
"2015-01","010011","216341","013622","20","11744"
"2015-01","010011","216352","013622","70","41176.8"
"2015-01","010011","216382","013622","6","3601.44"
"2015-01","010011","218002","013622","120","65738.06"
"2015-01","010011","218023","013622","20","12004.8"
"2015-01","010011","218045","013622","40","22940"
"2015-01","010011","218076","013622","10","6012.25"
"2015-01","010011","219003","013622","16","9507.84"
"2015-01","010011","219031","013622","40","24009.6"
"2015-01","010011","219040","013622","80","42922.11"
"2015-01","010011","219062","013622","20","11764.8"
"2015-01","010011","219084","013622","10","5822.3"
"2015-01","010011","219102","013622","60","33885.6"
"2015-01","010011","219106","013622","16","9507.84"
"2015-01","010011","219109","013622","60","34235.12"
"2015-01","010011","219163","013622","60","34410"
"2015-01","010011","219201","013622","10","6002.4"
"2015-01","010011","219221","013622","60","32191.59"
"2015-01","010011","219223","013622","4","2376.96"
"2015-01","010011","219250","013622","60","34933.8"
"2015-01","010011","219282","013622","30","17466.9"
"2015-01","010011","219287","013622","60","35294.4"
"2015-01","010011","219323","013622","6","3493.4"
"2015-01","010011","219349","013622","12","6986.79"
"2015-01","010011","219364","013622","72","39824.64"
"2015-01","010011","219420","013622","10","6002.4"
"2015-01","010011","219527","013622","2","1200.48"
"2015-01","010011","219583","013622","20","11644.66"
"2015-01","010011","219603","013622","2","1200.48"
"2015-01","010011","219621","013622","4","2400.96"
"2015-01","010011","219631","013622","10","5822.3"
"2015-01","010011","219651","013622","10","6198.2"
"2015-01","010011","219656","013622","4","2400.96"
"2015-01","010011","219658","013622","4","2400.96"
"2015-01","010011","220083","013622","10","5942.4"
"2015-01","010011","220087","013622","12","7202.88"
"2015-01","010011","220115","013622","30","17827.2"
"2015-01","010011","220117","013622","2","1200.48"
"2015-01","010011","220274","013622","6","3601.44"
"2015-01","010011","220299","013622","20","11884.8"
"2015-01","010011","220328","013622","2","1200.48"
"2015-01","010011","220348","013622","6","3601.44"
"2015-01","010011","220374","013622","8","4801.92"
"2015-01","010011","220400","013622","20","12004.8"
"2015-01","010011","220401","013622","20","11884.8"
"2015-01","010011","220405","013622","10","6002.4"
"2015-01","010011","220418","013622","10","6002.4"
"2015-01","010011","221023","013622","200","110624"
"2015-01","010011","221051","013622","70","41596.630000000005"
"2015-01","010011","221054","013622","4","2400.96"
"2015-01","010011","221062","013622","4","2400.96"
"2015-01","010011","222020","013622","4","2400.96"
"2015-01","010011","222022","013622","500","268263.2"
"2015-01","010011","222088","013622","6","3601.44"
"2015-01","010011","223028","013622","20","11125.9"
"2015-01","010011","223086","013622","4","2400.96"
"2015-01","010011","225005","013622","20","12004.8"
"2015-01","010011","225015","013622","10","6002.4"
"2015-01","010011","225030","013622","30","18007.2"
"2015-01","010011","269014","013622","4","2400.96"
"2015-01","010011","272049","013622","2","1200.48"
"2015-01","010011","279011","013622","10","6198.2"
"2015-01","010011","602099","013622","2","1429.68"
"2015-01","010011","602203","013622","2","1334.4"
"2015-01","010011","602205","013622","1","667.2"
"2015-01","010011","602234","013622","1","667.2"
"2015-01","010011","602241","013622","1","667.2"
"2015-01","010011","602258","013622","1","667.2"
"2015-01","010011","602262","013622","2","1334.4"
"2015-01","010011","602313","013622","2","1334.4"
"2015-01","010011","612026","013622","400","220800"
"2015-01","010011","615026","013622","40","20000"
"2015-01","010011","615027","013622","12","6000"
"2015-01","010011","615052","013622","24","12000"
"2015-01","010011","615062","013622","32","16000"
"2015-01","010011","618072","013622","1","667.2"
"2015-01","010011","618077","013622","1","667.2"
"2015-01","010011","618079","013622","1","667.2"
"2015-01","010011","618081","013622","2","1334.4"
"2015-01","010011","618083","013622","1","667.2"
"2015-01","010011","619295","013622","37","26449.08"
"2015-01","010011","691001","013622","0.1667","134.5794"
"2015-01","010011","702009","013622","60","25920"
"2015-01","010011","861135","013622","2","1304.88"
"2015-02","010011","101011","013622","2","1304.88"
"2015-02","010011","101029","013622","50","28511.5"
"2015-02","010011","101032","013622","198","109518.37"
"2015-02","010011","101049","013622","34","19365.86"
"2015-02","010011","101064","013622","30","17087.52"
"2015-02","010011","102002","013622","30","17106.9"
"2015-02","010011","102008","013622","900","513207"
"2015-02","010011","102066","013622","40","23488"
"2015-02","010011","102068","013622","400","221160"
"2015-02","010011","102075","013622","100","55312.31"
"2015-02","010011","102103","013622","100","55290"
"2015-02","010011","103005","013622","110","60843.54"
"2015-02","010011","103046","013622","14","8677.48"
"2015-02","010011","103097","013622","80","45618.4"
"2015-02","010011","103113","013622","6","3601.44"
"2015-02","010011","103132","013622","40","22124.92"
"2015-02","010011","103133","013622","200","110624.62"
"2015-02","010011","103159","013622","10","6002.4"
"2015-02","010011","103164","013622","2","1304.88"
"2015-02","010011","104013","013622","100","57023"
"2015-02","010011","105022","013622","244","134962.04"
"2015-02","010011","110001","013622","100","55312.31"
"2015-02","010011","110003","013622","100","57059.28"
"2015-02","010011","111022","013622","150","82968.46"
"2015-02","010011","112028","013622","92","55222.08"
"2015-02","010011","113067","013622","48","26549.91"
"2015-02","010011","114031","013622","310","171468.16"
"2015-02","010011","115002","013622","492","280553.16"
"2015-02","010011","115016","013622","214","142780.8"
"2015-02","010011","115030","013622","190","105093.39"
"2015-02","010011","116062","013622","2","1239.64"
"2015-02","010011","116097","013622","32","18445.21"
"2015-02","010011","116835","013622","2","1304.88"
"2015-02","010011","118008","013622","10","5822.33"
"2015-02","010011","119001","013622","30","17106.9"
"2015-02","010011","119009","013622","100","57023"
"2015-02","010011","119023","013622","196","108412.13"
"2015-02","010011","119057","013622","30","15626.7"
"2015-02","010011","119091","013622","90","49781.08"
"2015-02","010011","119097","013622","80","45618.4"
"2015-02","010011","119216","013622","80","45566.72"
"2015-02","010011","119225","013622","90","49781.08"
"2015-02","010011","119226","013622","6","3493.4"
"2015-02","010011","119237","013622","190","108343.7"
"2015-02","010011","119244","013622","120","66374.77"
"2015-02","010011","119247","013622","250","142557.5"
"2015-02","010011","119312","013622","10","6002.4"
"2015-02","010011","119322","013622","60","32845.25"
"2015-02","010011","119396","013622","160","88499.7"
"2015-02","010011","119408","013622","430","237842.94"
"2015-02","010011","119442","013622","100","53652.64"
"2015-02","010011","119444","013622","32","17517.47"
"2015-02","010011","119456","013622","200","110624.62"
"2015-02","010011","119460","013622","50","28511.5"
"2015-02","010011","119465","013622","14","7983.22"
"2015-02","010011","120023","013622","200","114046"
"2015-02","010011","120027","013622","96","53099.82"
"2015-02","010011","120063","013622","26","14835.41"
"2015-02","010011","120099","013622","100","57023"
"2015-02","010011","120179","013622","2","1164.47"
"2015-02","010011","120194","013622","56","31932.88"
"2015-02","010011","120219","013622","260","148259.8"
"2015-02","010011","121024","013622","40","21896.83"
"2015-02","010011","122045","013622","180","102641.4"
"2015-02","010011","123036","013622","46","25443.66"
"2015-02","010011","123046","013622","40","22124.92"
"2015-02","010011","125004","013622","1854","994116.1799999999"
"2015-02","010011","125011","013622","40","21896.83"
"2015-02","010011","174029","013622","30","16422.62"
"2015-02","010011","176044","013622","4","2400.96"
"2015-02","010011","201004","013622","10","6002.4"
"2015-02","010011","201010","013622","100","55312.31"
"2015-02","010011","201024","013622","20","11884.8"
"2015-02","010011","201217","013622","18","10804.32"
"2015-02","010011","202007","013622","100","54781.72"
"2015-02","010011","202043","013622","10","5822.33"
"2015-02","010011","202044","013622","20","11764.7"
"2015-02","010011","202080","013622","1","667.2"
"2015-02","010011","202126","013622","30","17205"
"2015-02","010011","202176","013622","1","667.2"
"2015-02","010011","202177","013622","1","667.2"
"2015-02","010011","203004","013622","50","30012"
"2015-02","010011","203008","013622","28","16302.52"
"2015-02","010011","203034","013622","100","53652.64"
"2015-02","010011","203060","013622","72","42278.4"
"2015-02","010011","203091","013622","60","32191.590000000004"
"2015-02","010011","203139","013622","100","58223"
"2015-02","010011","203146","013622","12","7202.88"
"2015-02","010011","203166","013622","10","6002.4"
"2015-02","010011","203203","013622","52","28762.24"
"2015-02","010011","203248","013622","2","1200.48"
"2015-02","010011","204077","013622","10","6002.4"
"2015-02","010011","205014","013622","46","25199.59"
"2015-02","010011","205019","013622","30","18007.2"
"2015-02","010011","210002","013622","60","33174"
"2015-02","010011","210011","013622","20","11644.66"
"2015-02","010011","210027","013622","20","12004.8"
"2015-02","010011","210030","013622","4","2328.93"
"2015-02","010011","210042","013622","2","1200.48"
"2015-02","010011","211040","013622","160","90361.6"
"2015-02","010011","211071","013622","40","23769.5"
"2015-02","010011","211126","013622","50","26826.32"
"2015-02","010011","211143","013622","60","35294.4"
"2015-02","010011","211144","013622","200","113499"
"2015-02","010011","211201","013622","300","169428"
"2015-02","010011","211232","013622","2","1334.4"
"2015-02","010011","211246","013622","30","16942.8"
"2015-02","010011","212017","013622","60","36014.4"
"2015-02","010011","212018","013622","80","44249.85"
"2015-02","010011","212042","013622","10","5942.4"
"2015-02","010011","212057","013622","22","12168.64"
"2015-02","010011","213029","013622","50","27656"
"2015-02","010011","213037","013622","12","7202.88"
"2015-02","010011","214050","013622","20","12004.8"
"2015-02","010011","214074","013622","12","6916.95"
"2015-02","010011","214082","013622","64","37580.8"
"2015-02","010011","214112","013622","2","1200.48"
"2015-02","010011","214119","013622","2","1200.48"
