"Datetime","Sku","Customer","Qty","Amt"
"2016-01-05","098179","202159","1","414.84"
"2016-01-05","098179","602204","2","829.68"
"2016-01-05","098179","615038","2","699.6"
"2016-01-06","098179","115002","30","8846.7"
"2016-01-06","155476","615034","1","476.4"
"2016-01-06","200213","615058","1","306.12"
"2016-01-06","155476","619313","1","476.4"
"2016-01-06","155476","691001","0.0833","46.729"
"2016-01-07","200213","216005","12","3008.71"
"2016-01-07","098179","613080","1","450"
"2016-01-08","098179","112025","24","7041.5"
"2016-01-08","098179","216033","3","945.28"
"2016-01-08","098179","605045","5","2004"
"2016-01-09","098179","119225","10","2933.96"
"2016-01-09","098179","119408","24","6865.04"
"2016-01-09","200213","203248","1","258.48"
"2016-01-09","200213","208011","5","1292.4"
"2016-01-09","098179","219370","1","299.38"
"2016-01-09","098179","220350","2","617.28"
"2016-01-09","098179","605045","4","1603.2"
"2016-01-11","098179","203095","1","308.64"
"2016-01-11","200213","203095","1","258.48"
"2016-01-12","200213","211208","24","6203.52"
"2016-01-12","200213","213169","3","752.18"
"2016-01-12","098179","618087","1","414.84"
"2016-01-12","098179","691001","0.0833","40.1869"
"2016-01-13","098179","219620","6","1851.84"
"2016-01-13","200213","219620","6","1550.88"
"2016-01-13","098179","618074","2","829.68"
"2016-01-13","098179","619005","2","829.68"
"2016-01-13","098179","691001","0.0833","40.1869"
"2016-01-13","155476","691001","0.0833","37.3832"
"2016-01-14","200213","103157","1","258.48"
"2016-01-14","098179","115016","28","9182.88"
"2016-01-14","200213","216364","2","516.96"
"2016-01-14","098179","612026","13","4049.76"
"2016-01-14","098179","615082","1","349.8"
"2016-01-14","155476","615082","1","476.4"
"2016-01-15","098179","121024","10","2903.71"
"2016-01-15","098179","201109","2","604.94"
"2016-01-15","200213","201109","1","253.31"
"2016-01-15","098179","201116","2","617.28"
"2016-01-15","098179","214031","1","308.64"
"2016-01-15","200213","214031","1","258.48"
"2016-01-18","098179","103152","1","302.47"
"2016-01-18","200213","103152","1","253.31"
"2016-01-18","098179","125011","48","13105.61"
"2016-01-18","098179","605045","2","801.6"
"2016-01-19","200213","219215","2","516.96"
"2016-01-19","098179","219545","6","1851.84"
"2016-01-19","098179","220412","1","308.64"
"2016-01-19","098179","222027","3","898.14"
"2016-01-19","200213","222027","6","1504.35"
"2016-01-19","098179","613082","1","450"
"2016-01-19","098179","615080","1","349.8"
"2016-01-19","155476","615080","1","476.4"
"2016-01-20","098179","119155","6","1760.38"
"2016-01-20","098179","201046","5","1543.2"
"2016-01-20","098179","216135","6","1851.84"
"2016-01-20","200213","220109","5","1292.4"
"2016-01-20","155476","605045","30","12902.4"
"2016-01-20","098179","612026","14","4361.28"
"2016-01-20","098179","615034","2","699.6"
"2016-01-20","098179","615049","2","699.6"
"2016-01-20","200213","620098","2","629.82"
"2016-01-21","200213","103046","1","253.31"
"2016-01-21","098179","179074","3","907.41"
"2016-01-21","200213","215024","5","1292.4"
"2016-01-21","200213","220117","3","759.93"
"2016-01-21","200213","220286","1","258.48"
"2016-01-21","155476","612026","2","782.16"
"2016-01-21","200213","691001","0.0833","33.6449"
"2016-01-22","098179","103132","5","1466.98"
"2016-01-22","098179","208006","2","617.28"
"2016-01-22","098179","211237","1","293.4"
"2016-01-22","200213","219215","3","775.44"
"2016-01-22","200213","222005","24","5897.06"
"2016-01-22","098179","605045","5","2004"
"2016-01-22","155476","612026","3","1173.24"
"2016-01-22","098179","691001","0.0833","40.1869"
"2016-01-22","200213","691001","0.0833","33.6449"
"2016-01-23","098179","119155","4","1173.58"
"2016-01-23","098179","120140","1","293.4"
"2016-01-23","098179","209017","6","1814.82"
"2016-01-23","200213","211010","6","1550.88"
"2016-01-25","098179","102008","12","3629.64"
"2016-01-25","200213","104039","3","759.93"
"2016-01-25","155476","115016","4","1905.6"
"2016-01-25","098179","179074","7","2117.29"
"2016-01-25","200213","220071","1","272.04"
"2016-01-25","098179","226003","2","617.28"
"2016-01-25","098179","605045","4","1603.2"
"2016-01-26","098179","202150","1","414.84"
"2016-01-26","098179","213019","4","1234.56"
"2016-01-26","200213","213019","2","516.96"
