"Datetime","Cg","Customer","Sku","Qty","Amt"
"2015-01","070211","101032","177331","10","1452.09"
"2015-01","070211","103157","177331","1","135.96"
"2015-01","070211","111059","177331","120","15350.83"
"2015-01","070211","115016","182137","516","25696.800000000003"
"2015-01","070211","119322","177331","9","1215.91"
"2015-01","070211","119430","177331","57","8322"
"2015-01","070211","120009","177331","30","4353.6"
"2015-01","070211","120183","177331","3","422.18"
"2015-01","070211","202100","181185","1","235.44"
"2015-01","070211","202127","181185","1","235.44"
"2015-01","070211","202150","181185","2","470.88"
"2015-01","070211","202180","181185","1","235.44"
"2015-01","070211","211056","177331","29","4207.32"
"2015-01","070211","216246","177331","28","4063.36"
"2015-01","070211","221051","177331","27","3877.99"
"2015-01","070211","602204","181185","1","235.44"
"2015-01","070211","602206","181185","1","235.44"
"2015-01","070211","602252","181185","1","235.44"
"2015-01","070211","602254","181185","1","235.44"
"2015-01","070211","610001","181185","14","3296.1600000000003"
"2015-01","070211","613075","182137","24","1195.2"
"2015-01","070211","615036","182137","24","1195.2"
"2015-01","070211","615039","182137","36","1792.8"
"2015-01","070211","615045","182137","36","1792.8"
"2015-01","070211","615047","182137","36","1792.8"
"2015-01","070211","615056","182137","36","1792.8"
"2015-01","070211","618072","181185","2","470.88"
"2015-01","070211","618076","181185","1","235.44"
"2015-01","070211","618079","181185","1","235.44"
"2015-01","070211","618083","181185","1","235.44"
"2015-01","070211","618088","181185","2","470.88"
"2015-01","070211","619005","181185","2","470.88"
"2015-01","070211","619165","181185","3","701.61"
"2015-01","070211","619217","177331","60","9720"
"2015-01","070211","619217","182137","180","7740"
"2015-01","070211","619295","181185","91","22353.24"
"2015-01","070211","619332","177331","2","457.44"
"2015-01","070211","691001","177331","0.2499","63.252399999999994"
"2015-01","070212","103157","177348","1","234.32"
"2015-01","070212","111059","177348","100","22047.13"
"2015-01","070212","115016","177348","17","7548"
"2015-01","070212","115016","182120","96","8910.72"
"2015-01","070212","120009","177348","5","1250.6"
"2015-01","070212","120183","177348","3","727.73"
"2015-01","070212","121038","177348","26","6054.8"
"2015-01","070212","216246","177348","20","5002.4"
"2015-01","070212","219163","177348","10","2500.8"
"2015-01","070212","219545","177348","4","1000.32"
"2015-01","070212","602213","181178","1","431.76"
"2015-01","070212","615035","182120","24","2227.68"
"2015-01","070212","615037","182120","24","2227.68"
"2015-01","070212","615039","182120","36","3341.52"
"2015-01","070212","615048","182120","24","2227.68"
"2015-01","070212","615066","182120","48","4455.36"
"2015-01","070212","618072","181178","2","863.52"
"2015-01","070212","619304","181178","2","888"
"2015-01","070212","619332","177348","15","6291"
"2015-01","070212","720006","177348","113.5","25088.04"
"2015-01","070213","103157","177355","1","543.72"
"2015-01","070213","119370","177355","3","1688.73"
"2015-01","070213","120009","177355","5","2901.85"
"2015-01","070213","120183","177355","3","1688.73"
"2015-01","070213","174029","177355","40","21615.74"
"2015-01","070213","212061","177355","10","5803.7"
"2015-01","070213","220341","177355","10","5803.2"
"2015-01","070213","220386","177355","10","5803.7"
"2015-01","070213","618072","177355","1","863.52"
"2015-01","070213","619165","177355","2","1255.68"
"2015-01","070213","620098","177355","1","831.6"
"2015-01","070213","691001","177355","0.3332","319.626"
"2015-01","070213","720006","177355","226","104303.52"
"2015-01","070221","101067","177041","5","1063.31"
"2015-01","070221","102002","177041","2","416.64"
"2015-01","070221","102113","177041","1","212.66"
"2015-01","070221","103046","177041","2","416.64"
"2015-01","070221","103049","177041","5","1010.35"
"2015-01","070221","103147","177041","10","2000.53"
"2015-01","070221","103157","177041","1","195.12"
"2015-01","070221","109006","177041","6","1170.72"
"2015-01","070221","111059","177041","40","7343.68"
"2015-01","070221","111079","177041","200","39201.58"
"2015-01","070221","112025","177041","20","3960.51"
"2015-01","070221","115016","177041","34","7935.6"
"2015-01","070221","116104","177041","40","8332.8"
"2015-01","070221","116151","177041","3","657.72"
"2015-01","070221","116162","177041","2","416.64"
"2015-01","070221","116183","177041","6","1249.92"
"2015-01","070221","119322","177041","80","14535.94"
"2015-01","070221","119395","177041","5","1042.07"
"2015-01","070221","119409","177041","9","1799.54"
"2015-01","070221","119448","177041","1","208.32"
"2015-01","070221","119459","177041","3","599.96"
"2015-01","070221","120032","177041","20","4041.41"
"2015-01","070221","120099","177041","3","624.96"
"2015-01","070221","120178","177041","10","2083.2"
"2015-01","070221","120183","177041","5","1010.35"
"2015-01","070221","120194","177041","60","12124.2"
"2015-01","070221","121038","177041","160","31037.95"
"2015-01","070221","123010","177041","200","36339.84"
"2015-01","070221","123029","177041","20","4041.41"
"2015-01","070221","201003","177041","2","416.64"
"2015-01","070221","201012","177041","20","3902.4"
"2015-01","070221","201037","177041","40","7570.66"
"2015-01","070221","201042","177041","2","416.64"
"2015-01","070221","201078","177041","160","32325.06"
"2015-01","070221","202010","177041","40","8332.8"
"2015-01","070221","202073","177041","2","533.76"
